DateTime,AddedIPs,RemovedIPs
1602219630,108,110
1602221560,170,158
1602223448,127,116
1602225370,116,120
1602227315,162,185
1602229215,132,130
1602231128,182,163
1602233078,131,338
1602234968,128,154
1602237132,122,204
1602239060,147,242
1602241000,130,142
1602242887,207,184
1602244840,129,177
1602246757,152,220
1602248654,157,199
1602250574,212,159
1602252524,171,246
1602254408,149,166
1602256340,167,247
1602258360,172,1744
1602260204,222,604
1602262123,144,124
1602264051,464,125
1602265951,181,118
1602267875,99,160
1602269830,186,107
1602271689,152,125
1602273622,114,122
1602275561,113,186
1602277517,158,129
1602279410,129,137
1602281345,125,158
1602283239,117,133
1602285152,156,166
1602287110,373,150
1602288984,149,186
1602290905,136,98
1602292870,141,180
1602294749,110,109
1602296672,134,175
1602298622,116,115
1602300512,105,184
1602302453,113,191
1602304360,415,171
1602306253,388,168
1602308169,488,137
1602310125,322,171
1602312008,96,110
1602313933,562,188
1602315878,720,143
1602317772,619,177
1602319686,624,109
1602321643,581,122
1602323529,553,91
1602325452,627,138
1602327399,522,127
1602329291,522,185
1602332179,294,187
1602334107,125,183
1602336081,211,234
1602337946,191,135
1602339937,189,153
1602341840,139,128
1602343708,162,82
1602345646,120,109
1602347571,95,123
1602349519,147,151
1602351420,73,498
1602353330,266,92
1602355240,341,102
1602357175,412,189
1602359070,406,107
1602360998,388,94
1602362915,409,117
1602364838,391,142
1602366752,258,104
1602368710,703,127
1602370607,1566,89
1602372511,949,395
1602375419,1517,208
1602377328,396,114
1602379226,106,122
1602381148,118,87
1602383102,200,112
1602385033,108,118
1602386911,101,94
1602388858,111,90
1602390747,114,164
1602392568,58,134
1602394598,96,194
1602396489,243,149
1602398412,102,140
1602400361,169,661
1602402250,89,823
1602404165,345,532
1602406118,63,520
1602408007,132,460
1602409929,94,446
1602411874,103,530
1602413769,89,766
1602415687,137,966
1602417651,94,689
1602419532,101,604
1602421709,98,667
1602423643,353,659
1602425593,233,587
1602427468,184,609
1602429675,213,667
1602431560,117,670
1602433480,172,387
1602435372,181,355
1602437288,196,392
1602439245,126,435
1602441133,211,412
1602443052,163,459
1602445010,223,465
1602446984,230,502
1602448861,151,412
1602450821,171,531
1602452680,100,353
1602454593,183,537
1602456552,133,2453
1602458446,134,1634
1602460374,124,1581
1602462301,184,1609
1602464196,167,191
1602466143,156,132
1602468078,131,107
1602469951,205,244
1602471886,182,152
1602473828,239,162
1602475733,164,162
1602477637,186,119
1602479683,182,113
1602481712,150,145
1602483607,108,139
1602485774,122,165
1602487690,149,131
1602489649,124,438
1602491532,154,86
1602493455,126,112
1602495398,100,182
1602497293,157,134
1602499211,133,113
1602501400,207,201
1602503290,291,108
1602505209,682,133
1602507159,1205,76
1602509051,143,102
1602510998,132,116
1602512887,456,159
1602515772,1953,208
1602517687,586,119
1602519635,1362,116
1602521528,1527,122
1602523454,1069,125
1602525396,100,94
1602527287,149,154
1602529224,112,103
1602531157,160,161
1602533050,156,165
1602534970,116,130
1602536921,184,151
1602538808,107,98
1602540729,729,166
1602542677,780,95
1602544566,148,105
1602546491,171,127
1602548436,184,143
1602550329,96,154
1602552250,140,138
1602554197,89,88
1602556096,123,190
1602558055,117,130
1602559930,97,242
1602561853,136,144
1602563796,95,162
1602565695,115,166
1602567637,112,151
1602569531,225,103
1602571448,132,121
1602573399,220,444
1602575302,422,96
1602577453,172,166
1602579368,111,96
1602581318,114,111
1602583231,101,107
1602585132,160,141
1602587079,173,91
1602588969,100,168
1602590890,167,170
1602592842,105,1176
1602594730,132,327
1602596653,134,118
1602598598,173,187
1602600488,121,132
1602602406,157,1145
1602604361,116,1827
1602606249,174,1422
1602608170,127,1627
1602610118,357,939
1602613000,278,201
1602614889,150,118
1602616807,174,155
1602618761,207,144
1602620651,183,138
1602622568,105,178
1602624523,147,125
1602627395,193,1580
1602629285,119,450
1602631243,102,157
1602633128,118,205
1602635053,113,189
1602636997,94,117
1602638887,154,150
1602640825,385,127
1602642757,209,141
1602644654,160,128
1602646569,98,109
1602648518,161,150
1602650409,116,93
1602652329,117,130
1602654392,153,117
1602656436,137,177
1602658326,92,128
1602660249,145,186
1602662194,137,157
1602664088,236,161
1602666069,175,133
1602667934,230,120
1602669853,206,164
1602671800,259,124
1602673732,268,181
1602675613,146,111
1602677560,161,171
1602679450,128,129
1602681368,440,151
1602683316,129,124
1602685206,160,153
1602687158,201,107
1602689060,155,133
1602690975,199,94
1602692915,151,172
1602694820,100,112
1602696758,189,185
1602698657,145,230
1602700570,437,267
1602702520,1984,182
1602704409,239,128
1602706337,910,232
1602708275,1587,164
1602710171,1639,144
1602712087,652,97
1602714037,118,143
1602715929,98,102
1602717853,139,75
1602719796,159,120
1602722058,226,112
1602724194,132,140
1602726005,76,119
1602728202,144,475
1602730096,209,107
1602732110,160,155
1602733954,101,99
1602735848,638,174
1602737798,93,95
1602739686,109,119
1602741537,107,131
1602743555,206,147
1602745448,125,113
1602747367,110,101
1602749319,136,149
1602751209,107,123
1602753129,153,146
1602755083,116,125
1602757211,133,196
1602759128,126,268
1602761083,119,180
1602762967,114,102
1602764889,154,156
1602766849,159,373
1602768734,125,186
1602770653,127,155
1602772604,186,102
1602774488,1442,191
1602776417,116,199
1602778365,154,136
