DateTime,AddedIPs,RemovedIPs
1602223228,11,7
1602225157,13,8
1602227052,9,10
1602228968,8,10
1602230918,7,12
1602232808,12,5
1602234732,8,5
1602236677,8,16
1602238567,15,78
1602240489,10,9
1602242434,8,11
1602244328,9,6
1602246249,6,11
1602248198,10,12
1602250088,4,13
1602252024,5,8
1602253960,8,7
1602255851,12,9
1602257770,11,5
1602259720,9,10
1602261611,12,10
1602263530,9,9
1602265476,6,12
1602267369,8,8
1602269289,67,10
1602271244,31,12
1602273128,9,6
1602275049,10,12
1602276995,7,7
1602278887,11,5
1602280833,4,14
1602282758,8,6
1602284649,7,10
1602286570,9,12
1602288521,0,13
1602290409,8,3
1602292330,10,7
1602294277,8,5
1602296171,3,6
1602298092,1,5
1602300037,11,3
1602301928,10,78
1602303849,6,10
1602305796,5,10
1602307686,7,7
1602309628,9,11
1602311565,10,12
1602313452,12,9
1602315372,6,7
1602317321,17,8
1602319207,20,11
1602321133,12,8
1602323077,10,9
1602324972,14,16
1602326886,7,10
1602328835,6,8
1602330726,8,9
1602332650,7,5
1602334597,8,9
1602336488,9,5
1602338431,9,5
1602340365,6,8
1602342257,7,13
1602344171,8,11
1602346119,45,9
1602348012,9,11
1602349965,13,9
1602351849,6,5
1602353767,7,9
1602355715,8,73
1602357608,10,24
1602359528,4,9
1602361480,10,10
1602363368,9,7
1602365532,14,12
1602367450,9,6
1602369396,12,9
1602371291,9,6
1602373210,5,8
1602375158,7,1
1602377049,10,11
1602378966,4,8
1602380915,8,9
1602382811,13,1
1602384731,5,2
1602386678,3,12
1602388566,7,8
1602390485,8,5
1602392575,10,6
1602394599,7,7
1602396490,3,10
1602398413,11,15
1602400363,7,8
1602402250,11,8
1602404166,8,18
1602406119,6,16
1602408008,7,14
1602409930,9,11
1602411875,6,13
1602413770,7,5
1602415688,5,8
1602417652,8,7
1602419533,5,7
1602421710,10,11
1602423643,6,7
1602425593,9,7
1602427469,9,6
1602429676,11,8
1602431561,4,20
1602433481,13,36
1602435373,10,12
1602437289,12,7
1602439255,6,10
1602441133,1,6
1602443053,4,8
1602445012,9,7
1602446985,11,6
1602448862,14,12
1602450822,6,8
1602452681,8,14
1602454594,8,8
1602456552,5,11
1602458447,12,8
1602460374,6,4
1602462302,6,8
1602464197,3,8
1602466143,3,5
1602468079,8,12
1602469952,6,9
1602471888,12,3
1602473829,125,6
1602475734,7,7
1602477637,7,9
1602479684,9,7
1602481713,5,8
1602483607,9,4
1602485775,13,6
1602487691,9,10
1602489658,6,7
1602491533,10,7
1602493456,10,7
1602495399,13,8
1602497294,10,6
1602499212,8,9
1602501401,15,8
1602503291,13,6
1602505210,6,6
1602507160,33,5
1602509052,16,11
1602510998,15,4
1602512888,13,13
1602515773,28,16
1602517688,14,4
1602519636,9,12
1602521528,8,11
1602523454,10,10
1602525397,12,7
1602527288,8,2
1602529238,11,4
1602531158,5,7
1602533051,13,10
1602534971,11,13
1602536922,6,9
1602538809,5,8
1602540730,6,8
1602542679,11,5
1602544567,16,10
1602546492,73,6
1602548437,9,8
1602550329,9,2
1602552251,8,4
1602554199,9,9
1602556096,5,5
1602558064,10,9
1602559931,3,129
1602561854,7,6
1602563797,5,8
1602565696,10,6
1602567638,7,8
1602569532,11,9
1602571449,11,13
1602573400,13,6
1602575303,5,7
1602577454,19,8
1602579369,12,11
1602581319,13,17
1602583242,11,6
1602585133,9,11
1602587080,7,11
1602588970,9,15
1602590891,13,6
1602592843,14,13
1602594731,18,32
1602596654,13,13
1602598599,11,15
1602600489,10,15
1602602407,6,23
1602604362,7,12
1602606250,9,6
1602608170,7,10
1602610119,16,10
1602613000,18,15
1602614890,12,12
1602616808,9,5
1602618762,15,14
1602620652,15,4
1602622568,14,7
1602624523,8,4
1602626439,5,9
1602628329,6,7
1602630290,10,14
1602632170,4,8
1602634126,10,74
1602636010,3,1
1602637933,2,13
1602639881,27,4
1602641774,303,11
1602643692,11,4
1602645639,7,10
1602647530,10,4
1602649454,6,4
1602651402,12,11
1602653290,7,5
1602655228,8,11
