DateTime,Entries,UniqueIPs
1602223931,12006,12006
1602225876,12010,12010
1602227767,12019,12019
1602229933,12025,12025
1602231855,12026,12026
1602233801,12037,12037
1602235689,12044,12044
1602237642,12042,12042
1602239566,12006,12006
1602241453,11994,11994
1602243371,11982,11982
1602245326,11954,11954
1602247212,11997,11997
1602249136,11995,11995
1602251087,11980,11980
1602252973,11980,11980
1602254890,11978,11978
1602256841,11976,11976
1602258737,11977,11977
1602260655,12102,12102
1602262599,12105,12105
1602264490,12476,12476
1602266425,12476,12476
1602268363,12478,12478
1602270253,12482,12482
1602272171,12486,12486
1602274125,12485,12485
1602276013,12477,12477
1602277934,12477,12477
1602279882,12468,12468
1602281769,12467,12467
1602283693,12466,12466
1602285639,12739,12739
1602287531,12750,12750
1602289453,12747,12747
1602291402,12740,12740
1602293289,12749,12749
1602295243,12754,12754
1602297159,12751,12751
1602299061,12764,12764
1602300973,12765,12765
1602302925,12772,12772
1602304811,12767,12767
1602306738,12765,12765
1602308680,12763,12763
1602310572,12765,12765
1602312489,12763,12763
1602314443,12760,12760
1602316331,12763,12763
1602318256,12761,12761
1602320202,12749,12749
1602322092,12743,12743
1602324043,12743,12743
1602325965,12717,12717
1602327852,12738,12738
1602329774,12689,12689
1602331722,12671,12671
1602333615,12625,12625
1602335535,12588,12588
1602337482,12642,12642
1602339371,12717,12717
1602341290,12691,12691
1602343243,12736,12736
1602345136,12732,12732
1602347051,12734,12734
1602348999,12732,12732
1602350890,12362,12362
1602352846,12368,12368
1602354735,12373,12373
1602356655,12373,12373
1602358600,12361,12361
1602360494,12370,12370
1602362415,12368,12368
1602364364,12366,12366
1602366249,12368,12368
1602368412,12588,12588
1602370338,14213,14213
1602372283,15091,15091
1602374171,16284,16284
1602376339,17350,17350
1602378253,17351,17351
1602380199,17383,17383
1602382093,17382,17382
1602384013,17387,17387
1602385964,17388,17388
1602387854,17387,17387
1602389771,17380,17380
1602391720,17382,17382
1602393608,17390,17390
1602395529,17388,17388
1602397477,17393,17393
1602399371,17396,17396
1602401289,17397,17397
1602403253,17393,17393
1602405129,17398,17398
1602407053,17408,17408
1602408995,17417,17417
1602410898,17427,17427
1602412813,17206,17206
1602414763,16454,16454
1602416650,15649,15649
1602418570,14979,14979
1602420516,14327,14327
1602422411,13662,13662
1602424332,12969,12969
1602426284,12339,12339
1602428172,11599,11599
1602430089,10996,10996
1602432061,10427,10427
1602433936,10425,10425
1602435853,10433,10433
1602437797,10445,10445
1602439692,10439,10439
1602441613,10466,10466
1602443563,10488,10488
1602445455,10492,10492
1602447369,10508,10508
1602449322,10511,10511
1602451210,10516,10516
1602453134,10519,10519
1602455082,9830,9830
1602456979,7009,7009
1602458890,5108,5108
1602460858,2894,2894
1602462731,1236,1236
1602464656,1244,1244
1602466599,1247,1247
1602468498,1252,1252
1602470412,1257,1257
1602472360,1227,1227
1602474251,1231,1231
1602476173,1245,1245
1602478117,1255,1255
1602480010,1249,1249
1602481930,1251,1251
1602483879,1248,1248
1602485777,1249,1249
1602487694,1264,1264
1602489683,1268,1268
1602491535,1263,1263
1602493458,1259,1259
1602495402,1255,1255
1602497296,1252,1252
1602499214,1207,1207
1602501404,1208,1208
1602503293,1217,1217
1602505213,1868,1868
1602507162,3228,3228
1602509054,3237,3237
1602511002,3242,3242
1602512891,3604,3604
1602514862,6174,6174
1602516767,6180,6180
1602518656,7505,7505
1602520573,9358,9358
1602522526,11306,11306
1602524412,11711,11711
1602526338,11714,11714
1602528279,11700,11700
1602530174,11695,11695
1602532090,11699,11699
1602534040,11682,11682
1602535930,11686,11686
1602537859,11687,11687
1602539798,11696,11696
1602541691,11696,11696
1602543650,11694,11694
1602545565,11701,11701
1602547453,11706,11706
1602549372,11705,11705
1602551328,11697,11697
1602553217,11695,11695
1602555171,11701,11701
1602557054,11699,11699
1602558971,11685,11685
1602560922,11688,11688
1602562811,11687,11687
1602564732,11677,11677
1602566654,11682,11682
1602568573,11675,11675
1602570517,11674,11674
1602572452,11665,11665
1602574333,11660,11660
1602576288,11658,11658
1602578171,11655,11655
1602580094,11651,11651
1602582046,11660,11660
1602583935,11666,11666
1602585851,11669,11669
1602587803,11675,11675
1602589688,11685,11685
1602591611,11285,11285
1602593562,10471,10471
1602595456,10480,10480
1602597373,10479,10479
1602599319,10481,10481
1602601239,10475,10475
1602603135,7829,7829
1602605082,5785,5785
1602606973,3787,3787
1602609140,1415,1415
1602611054,1220,1220
1602613003,1219,1219
1602614893,1213,1213
1602616810,1211,1211
1602618764,1216,1216
1602620654,1222,1222
1602622572,1224,1224
1602624526,1224,1224
1602626448,1217,1217
1602628332,1217,1217
1602630292,1213,1213
1602632173,1206,1206
1602634128,1211,1211
1602636013,1206,1206
1602637935,1203,1203
1602639883,1208,1208
1602641777,1205,1205
1602643695,1206,1206
1602645641,1224,1224
1602647532,1216,1216
1602649458,1229,1229
1602651405,1232,1232
1602653292,1243,1243
1602655234,1251,1251
1602657163,1253,1253
1602659053,1256,1256
1602660976,1249,1249
1602662926,1258,1258
1602664812,1259,1259
1602666765,1252,1252
1602668656,1248,1248
1602670572,1238,1238
1602672523,1234,1234
1602674409,1216,1216
1602676334,1204,1204
1602678283,1209,1209
1602680173,1204,1204
1602682092,1199,1199
1602684044,1200,1200
1602685934,1326,1326
1602687881,1327,1327
1602689775,1332,1332
1602691700,1342,1342
1602693644,1342,1342
1602695779,1339,1339
1602697693,1439,1439
1602699640,1449,1449
1602701532,3442,3442
1602703454,4708,4708
1602705399,4990,4990
1602707291,6848,6848
1602709246,8992,8992
1602711164,10620,10620
1602713062,10617,10617
1602714976,10610,10610
1602716925,10607,10607
1602718817,10610,10610
1602720836,10719,10719
1602723023,10728,10728
1602725186,10734,10734
1602727356,10733,10733
1602729233,10731,10731
1602731087,10730,10730
1602732975,10731,10731
1602734898,10727,10727
1602736815,10724,10724
1602738740,10720,10720
1602740683,10717,10717
1602742570,10717,10717
1602744500,10733,10733
1602746439,10734,10734
1602748348,10734,10734
1602750252,10743,10743
1602752209,10740,10740
1602754096,10740,10740
1602756038,10737,10737
1602757937,10738,10738
1602759857,10753,10753
1602761808,10753,10753
1602763697,10767,10767
1602765614,10772,10772
1602767568,10777,10777
1602769452,10769,10769
1602771615,10774,10774
1602773530,10727,10727
1602775489,10728,10728
1602777378,10716,10716
1602779291,10707,10707
1602781323,10709,10709
1602783140,10651,10651
1602785053,10646,10646
1602787253,10639,10639
1602789139,10634,10634
1602791058,8049,8049
1602793006,5833,5833
1602794892,3807,3807
1602796811,1722,1722
1602798770,1303,1303
1602800653,1309,1309
1602802575,1305,1305
1602804525,1317,1317
1602807370,1210,1210
1602809287,1209,1209
1602811242,1200,1200
1602813132,1191,1191
1602815053,1190,1190
1602817002,1186,1186
1602818891,1183,1183
1602821772,1179,1179
1602823688,1185,1185
1602825643,1186,1186
1602827531,1182,1182
1602829466,1189,1189
1602831400,1173,1173
1602833290,1164,1164
1602835242,1163,1163
1602837164,1154,1154
1602839053,1313,1313
1602840975,1313,1313
1602842927,1358,1358
1602844821,1354,1354
1602846976,1345,1345
1602848896,1349,1349
1602850845,1339,1339
1602852736,1334,1334
1602854656,1340,1340
1602856607,1342,1342
1602858492,1350,1350
1602860464,1340,1340
1602862365,1337,1337
1602864254,3863,3863
1602866177,6024,6024
1602868127,7873,7873
1602870012,10159,10159
1602871938,10695,10695
1602873885,10701,10701
1602875775,10702,10702
1602877696,10701,10701
1602879649,10698,10698
1602881547,10704,10704
1602883460,10699,10699
1602885401,10703,10703
1602887294,10702,10702
1602889286,10695,10695
1602891171,10680,10680
1602893062,10679,10679
1602894976,10683,10683
1602896943,10686,10686
1602898815,10696,10696
1602900736,10698,10698
1602902684,10695,10695
1602904573,10696,10696
1602906494,10695,10695
1602908439,10696,10696
1602910335,10700,10700
1602912260,10695,10695
1602914205,10694,10694
1602916093,10688,10688
1602918264,10695,10695
1602920177,10690,10690
1602922131,10685,10685
1602924018,10684,10684
1602925936,10526,10526
1602927882,10476,10476
1602929773,10475,10475
1602931690,10482,10482
1602933644,10492,10492
1602935534,10488,10488
1602937454,10489,10489
1602939400,10487,10487
1602941387,10484,10484
1602943237,10492,10492
1602945134,10532,10532
1602947086,10553,10553
1602948980,10559,10559
1602950896,10561,10561
1602952850,10551,10551
1602954751,10527,10527
1602956659,10516,10516
1602958605,10518,10518
1602960494,10523,10523
1602962417,10033,10033
1602964367,7057,7057
1602966255,5215,5215
1602968174,3330,3330
1602970120,3932,3932
1602972051,5941,5941
1602973936,7853,7853
1602975902,10024,10024
1602977772,10643,10643
1602979698,10641,10641
1602981645,10642,10642
1602983541,10645,10645
1602985454,10639,10639
1602987403,10642,10642
1602989294,10661,10661
1602991215,10669,10669
1602993167,10688,10688
1602995056,10687,10687
1602996974,10688,10688
1602998922,10692,10692
1603000868,10700,10700
1603002733,10704,10704
1603004681,10713,10713
1603006571,10722,10722
1603008495,10727,10727
1603010441,10736,10736
1603012333,10741,10741
1603014253,10750,10750
1603016203,10758,10758
1603018096,10762,10762
1603020010,10751,10751
1603021996,10751,10751
1603023853,10759,10759
1603025775,10774,10774
1603027725,10784,10784
1603029643,10781,10781
1603031571,10754,10754
1603033457,10753,10753
1603035375,10765,10765
1603037330,10770,10770
1603039216,10772,10772
1603041136,10773,10773
1603043085,10773,10773
1603044973,10771,10771
1603046892,10759,10759
1603048844,10757,10757
1603050740,10761,10761
1603052657,10777,10777
1603054605,10798,10798
1603056493,10810,10810
1603058438,10811,10811
1603060368,10745,10745
1603062261,10741,10741
1603064179,10738,10738
1603066124,10755,10755
1603068018,10752,10752
1603069975,10759,10759
1603071860,10780,10780
1603073774,10778,10778
1603075726,10770,10770
1603077613,10774,10774
1603079569,10776,10776
1603081458,10776,10776
1603083402,10783,10783
1603085292,10780,10780
1603088169,10776,10776
1603090215,10783,10783
1603092037,10779,10779
1603093930,10782,10782
1603095848,10777,10777
1603097800,10778,10778
1603099687,10778,10778
1603101636,10778,10778
1603103557,10785,10785
1603105453,10773,10773
1603107368,10783,10783
1603109318,10789,10789
1603111208,10782,10782
1603113130,10772,10772
1603115079,10759,10759
1603116969,10764,10764
1603118891,10752,10752
1603120846,10727,10727
1603122728,10713,10713
1603124651,10699,10699
1603126610,10696,10696
1603128488,10705,10705
1603130656,10712,10712
1603132568,10717,10717
1603134519,9057,9057
1603136412,6740,6740
1603138328,4902,4902
1603140279,3156,3156
1603142170,1638,1638
1603144090,1630,1630
1603146040,1619,1619
1603147929,1605,1605
1603149854,1615,1615
1603151800,1605,1605
1603153692,1598,1598
1603156572,1709,1709
1603158493,1690,1690
1603160456,1683,1683
1603162333,1667,1667
1603164251,1655,1655
1603166203,1637,1637
1603168097,1620,1620
1603170073,1616,1616
1603171936,1617,1617
1603173890,1618,1618
1603175774,1604,1604
1603177692,1597,1597
1603179644,1586,1586
1603181539,1586,1586
1603183455,1576,1576
1603185401,1573,1573
1603187304,1558,1558
1603189244,1537,1537
