DateTime,AddedIPs,RemovedIPs
1602225877,7,4
1602227768,6,29
1602229934,33,5
1602231856,7,4
1602233803,11,6
1602235690,3,7
1602237646,15,5
1602239567,12,4
1602241454,7,1
1602243372,9,5
1602245327,5,15
1602247213,7,3
1602249137,4,3
1602251088,11,2
1602252974,9,6
1602254891,7,12
1602256843,5,4
1602258740,3,283
1602260656,9,7
1602262600,7,6
1602264492,8,6
1602266427,6,11
1602268364,8,14
1602270257,9,11
1602272172,11,7
1602274126,9,9
1602276014,13,9
1602277935,8,10
1602279883,7,10
1602281770,2,3
1602283694,9,13
1602285640,13,8
1602287532,11,8
1602289454,4,8
1602291404,10,8
1602293291,10,10
1602295255,7,13
1602297160,6,9
1602299062,6,7
1602300974,9,11
1602302926,7,5
1602304814,9,5
1602306739,7,8
1602308681,10,6
1602310573,6,9
1602312490,7,7
1602314444,8,4
1602316332,9,6
1602318257,4,5
1602320204,6,8
1602322093,8,5
1602324060,12,11
1602325966,9,9
1602327853,7,8
1602329776,7,6
1602331723,9,6
1602333616,7,8
1602335536,8,8
1602337483,10,7
1602339372,8,9
1602341292,7,7
1602343244,12,8
1602345137,8,5
1602347052,12,6
1602349000,10,6
1602350891,7,9
1602352847,11,8
1602354737,11,8
1602356657,10,7
1602358602,9,9
1602360495,11,7
1602362416,9,14
1602364365,15,8
1602366250,16,3
1602368413,9,10
1602370340,8,8
1602372285,8,8
1602374173,11,10
1602376342,14,6
1602378255,7,7
1602380202,10,13
1602382094,7,3
1602384015,9,3
1602385965,12,9
1602387857,6,6
1602389772,12,9
1602391721,10,8
1602393609,12,7
1602395530,4,8
1602397478,4,6
1602399372,0,9
1602401291,4,279
1602403257,274,7
1602405131,2,9
1602407056,8,10
1602408996,10,7
1602410900,5,12
1602412815,7,11
1602414764,11,3
1602416652,11,6
1602418571,13,9
1602420517,7,8
1602422412,9,12
1602424334,8,15
1602426285,4,5
1602428174,12,12
1602430090,9,12
1602432078,4,11
1602433937,11,11
1602435854,4,12
1602437798,7,15
1602439693,7,13
1602441614,8,12
1602443564,10,7
1602445456,11,8
1602447371,13,8
1602449325,5,11
1602451210,8,15
1602453135,5,14
1602455083,6,10
1602456981,4,10
1602458890,7,10
1602460862,6,10
1602462733,5,7
1602464658,6,6
1602466601,4,4
1602468500,8,5
1602470413,9,7
1602472362,12,10
1602474252,5,9
1602476174,8,10
1602478117,10,9
1602480011,16,9
1602481932,9,5
1602483880,9,2
1602485778,8,1
1602487694,8,4
1602489689,8,2
1602491536,3,2
1602493461,8,6
1602495404,4,8
1602497297,17,5
1602499216,9,4
1602501405,7,11
1602503295,6,12
1602505213,6,10
1602507163,8,5
1602509055,5,9
1602511004,7,8
1602512893,6,6
1602514886,7,18
1602516769,6,5
1602518657,10,8
1602520574,5,10
1602522527,6,6
1602524413,9,7
1602526339,13,8
1602528281,11,7
1602530175,10,7
1602532092,10,11
1602534042,3,7
1602535932,7,5
1602537861,5,10
1602539799,9,4
1602541692,11,6
1602543661,9,6
1602545566,9,5
1602547454,9,5
1602549373,7,5
1602551329,9,3
1602553218,3,8
1602555172,7,6
1602557056,7,13
1602558972,11,7
1602560923,4,8
1602562812,6,11
1602564733,7,9
1602566656,7,12
1602568574,12,9
1602570518,14,8
1602572460,9,7
1602574334,10,310
1602576290,309,8
1602578172,4,6
1602580095,6,5
1602582047,5,4
1602583936,9,10
1602585852,9,6
1602587804,7,7
1602589689,11,7
1602591612,5,7
1602593563,6,8
1602595457,9,11
1602597374,6,6
1602599320,4,6
1602601248,3,4
1602603136,4,6
1602605083,5,11
1602606974,2,4
1602609141,4,10
1602611056,7,6
1602613003,3,11
1602614893,7,9
1602616811,9,6
1602618764,14,6
1602620656,5,3
1602622572,11,6
1602624526,5,5
1602626449,8,9
1602628334,5,5
1602630293,4,9
1602632174,5,4
1602634130,7,5
1602636014,4,12
1602637936,6,7
1602639885,10,6
1602641777,7,4
1602643695,4,6
1602645643,4,11
1602647535,13,4
1602649459,3,7
1602651405,7,4
1602653294,8,5
1602655236,9,13
1602657164,6,13
1602659054,4,8
1602660978,2,9
1602662927,16,6
1602664814,8,4
1602666765,7,5
1602668659,13,4
1602670573,5,6
1602672524,9,7
1602674410,9,5
1602676336,5,6
1602678283,8,8
1602680174,8,6
1602682092,3,3
1602684045,18,9
1602685936,7,4
1602687883,3,4
1602689777,86,3
1602691702,2,6
1602693645,6,4
1602695781,1,9
1602697694,3,4
1602699641,3,3
1602701533,3,5
1602703455,13,12
1602705400,13,9
1602707291,7,12
1602709251,5,11
1602711165,8,4
1602713063,8,5
1602714977,8,5
1602716926,9,6
1602718819,7,4
1602720837,12,4
1602723025,5,7
1602725187,6,9
1602727357,4,9
1602729234,3,9
1602731088,4,6
1602732977,9,8
1602734899,10,4
1602736817,10,6
1602738741,10,5
1602740684,9,10
1602742572,16,6
1602744502,21,5
1602746440,31,294
1602748351,312,14
1602750253,19,14
1602752211,13,5
1602754097,18,12
1602756042,12,8
1602757938,12,7
1602759859,10,9
1602761811,6,7
1602763698,10,4
1602765615,12,9
1602767569,44,5
1602769453,11,10
1602771616,7,11
1602773531,8,6
1602775490,13,4
1602777379,12,86
1602779292,10,5
1602781342,7,4
1602783400,9,4
1602785288,16,2
1602787255,14,3
1602789140,25,12
1602791059,18,8
1602793008,9,13
1602794893,13,4
1602796811,3,7
1602798771,13,8
1602800654,16,3
1602802578,13,5
1602804525,11,4
1602806466,18,9
1602808371,13,5
1602810266,6,8
1602812176,8,10
1602814129,5,4
1602816014,5,5
1602817935,3,4
1602819885,4,11
1602821772,5,7
1602823690,0,5
1602825645,1,6
1602827532,4,5
1602829468,1,20
1602831400,1,21
1602833291,1,28
1602835261,3,23
1602837164,2,18
1602839054,0,12
1602840975,2,19
1602842927,5,13
1602844822,2,12
1602846977,1,9
1602848897,2,10
1602850846,3,8
1602852737,4,18
1602854656,1,38
1602856608,1,11
1602858492,13,9
1602860478,1,5
1602862366,1,22
1602864255,5,8
1602866177,7,8
1602868128,1,5
1602870014,2,9
1602871939,1,17
1602873886,2,15
1602875776,2,33
1602877697,3,20
1602879652,0,8
1602881548,2,11
1602883461,4,7
1602885402,0,25
1602887295,1,35
1602889303,2,25
1602891172,1,17
1602893063,2,29
1602894978,1,18
1602896945,2,14
1602898816,1,9
1602900737,2,11
1602902686,2,6
1602904574,11,5
1602906495,2,6
1602908442,1,4
1602910336,5,0
1602912262,5,3
1602914207,2,5
1602916095,3,3
1602918266,3,2
1602920179,1,357
1602922132,364,3
1602924019,3,1
1602925937,3,0
1602927884,8,4
1602929774,4,2
1602931691,4,1
1602933645,3,3
1602935535,3,2
1602937455,4,2
1602939401,3,3
1602941388,5,0
1602943238,2,5
1602945135,5,10
1602947088,2,1
1602948981,5,3
1602950897,4,3
1602952851,7,5
1602954752,6,0
1602956660,2,6
1602958606,7,1
1602960496,8,1
1602962419,16,2
1602964368,4,3
1602966256,3,0
1602968174,6,6
1602970121,4,4
1602972052,6,1
1602973937,6,2
1602975903,3,1
1602977773,4,0
1602979699,3,1
1602981646,11,1
1602983542,9,2
1602985455,3,2
1602987404,3,2
1602989295,5,2
1602991216,6,11
1602993168,8,0
1602995057,6,1
1602996977,9,6
1602998923,9,4
1603000880,10,3
1603002735,5,4
1603004682,9,3
1603006572,7,1
1603008496,5,7
1603010442,7,4
1603012334,5,3
1603014254,6,5
1603016204,6,2
1603018098,8,4
1603020011,5,4
1603021997,8,4
1603023854,8,4
1603025778,7,3
1603027726,4,5
1603029645,7,0
1603031572,5,4
1603033459,6,2
1603035376,8,4
1603037331,5,2
1603039217,6,6
1603041137,6,5
1603043086,6,1
1603044974,7,7
1603046893,3,5
1603048845,7,9
1603050742,4,1
1603052658,7,5
1603054606,8,5
1603056494,7,4
1603058439,3,7
1603060369,3,5
1603062262,3,3
