DateTime,AddedIPs,RemovedIPs
1602118095,2,0
1602120043,1,1
1602125783,1,2
1602127697,0,1
1602129708,0,1
1602131538,1,1
1602133463,2,0
1602135407,2,1
1602137302,1,0
1602139219,0,1
1602141168,2,0
1602143072,0,2
1602144975,1,1
1602146922,1,1
1602148818,1,2
1602150738,4,2
1602152685,0,2
1602154579,2,6
1602156743,1,1
1602160608,1,2
1602164423,2,1
1602166368,1,1
1602168261,1,0
1602170175,1,2
1602172123,5,1
1602174017,1,1
1602175936,2,2
1602179781,0,1
1602181721,1,2
1602183662,0,1
1602185536,1,1
1602187487,1,2
1602189375,0,1
1602191298,1,0
1602193241,0,2
1602197060,2,0
1602198981,2,1
1602200893,1,0
1602202843,1,0
1602204734,1,2
1602206660,1,1
1602210495,1,0
1602212516,0,1
1602214362,1,0
1602218137,2,1
1602220121,2,2
1602222013,2,2
1602223934,2,1
1602227770,0,2
1602231858,2,1
1602233806,0,1
1602235693,0,1
1602237655,0,3
1602239569,3,1
1602241456,1,1
1602243373,2,1
1602245329,3,0
1602247215,1,1
1602251090,0,1
1602252976,2,1
1602254893,1,1
1602256845,0,2
1602258741,1,4
1602260657,2,1
1602262602,0,2
1602264494,2,0
1602266432,1,0
1602268365,0,1
1602272174,1,1
1602274128,0,1
1602276016,1,0
1602277936,0,1
1602279885,1,0
1602283696,2,2
1602285642,1,2
1602287534,0,1
1602289456,1,2
1602291406,1,0
1602293293,0,1
1602295286,0,1
1602297162,0,1
1602300976,1,1
1602304816,1,2
1602306741,0,2
1602308684,1,4
1602310575,1,0
1602316334,1,0
1602318259,1,2
1602320206,1,0
1602322094,1,0
1602324097,0,1
1602325968,2,3
1602327854,1,1
1602329777,1,2
1602331725,2,3
1602333618,1,1
1602335537,1,0
1602337485,1,0
1602339373,2,2
1602341294,0,1
1602345139,2,1
1602347053,0,2
1602349002,1,0
1602350893,2,2
1602352850,1,1
1602356659,1,0
1602358604,0,1
1602362418,0,1
1602366252,1,1
1602368416,2,0
1602370342,3,2
1602372287,0,1
1602376344,0,1
1602378256,0,1
1602384017,1,0
1602387858,0,1
1602389774,2,0
1602391723,0,1
1602393611,2,1
1602397479,1,1
1602399374,1,0
1602401293,2,0
1602403261,2,1
1602405132,1,1
1602407057,0,1
1602408998,2,1
1602410901,0,1
1602412817,0,1
1602414766,2,1
1602416654,1,1
1602418574,1,2
1602420519,0,2
1602424336,1,1
1602426287,1,2
1602432133,1,2
1602435857,2,2
1602437800,3,1
1602439695,2,1
1602441617,1,1
1602443566,1,0
1602449327,3,0
1602453137,1,2
1602455086,0,2
1602456983,0,2
1602458893,1,0
1602460880,1,0
1602470415,0,1
1602472364,1,0
