DateTime,AddedIPs,RemovedIPs
1602021635,0,1
1602023536,1,0
1602025480,0,1
1602027378,0,2
1602029298,2,1
1602031238,0,1
1602035292,0,1
1602039137,1,1
1602043000,1,0
1602048769,1,1
1602050657,0,1
1602052579,1,0
1602056415,0,1
1602058336,0,1
1602060279,1,0
1602062174,0,1
1602064336,1,0
1602066254,2,2
1602070092,2,2
1602072049,2,0
1602073934,1,1
1602075858,2,0
1602077797,3,0
1602079698,0,2
1602083570,1,1
1602085452,1,1
1602089292,1,1
1602093158,1,0
1602095052,1,1
1602096972,1,1
1602098919,0,2
1602100884,1,0
1602102738,1,0
1602104682,1,2
1602106576,0,1
1602110415,1,1
1602112334,1,0
1602114288,0,1
1602116173,0,1
1602118094,1,1
1602120042,2,0
1602121938,1,0
1602125783,1,1
1602127697,1,0
1602129704,0,1
1602133463,1,0
1602135406,1,1
1602139218,0,1
1602141168,2,0
1602143072,2,0
1602144975,0,1
1602146921,1,1
1602148818,1,0
1602150738,1,1
1602154578,2,0
1602156743,1,3
1602160607,0,1
1602162502,1,4
1602164423,1,1
1602166367,1,0
1602170175,1,1
1602172123,0,1
1602175936,0,1
1602177884,0,1
1602179781,0,1
1602181721,0,1
1602183660,1,0
1602185536,1,0
1602187487,0,1
1602193241,2,0
1602195143,1,0
1602197059,0,1
1602198981,1,1
1602202843,1,2
1602204734,1,1
1602206659,0,1
1602208606,2,0
1602212509,1,1
1602214361,1,1
1602220121,0,1
1602222013,1,1
1602223934,1,0
1602225879,3,1
1602229936,0,1
1602231858,0,1
1602233805,1,0
1602235693,1,2
1602239569,1,0
1602241455,1,4
1602245329,1,0
1602247214,1,0
1602249139,0,2
1602251089,0,1
1602252975,0,1
1602254892,1,0
1602256845,0,1
1602258741,1,0
1602262602,1,0
1602264494,2,0
1602268365,1,0
1602270259,2,0
1602277936,0,1
1602279885,0,2
1602281771,0,2
1602283695,0,1
1602285642,1,0
1602287534,1,1
1602289456,0,1
1602291405,1,2
1602295282,1,1
1602297162,1,0
1602299065,1,1
1602300976,1,1
1602308683,0,2
1602310575,0,2
1602312492,0,3
1602314445,1,0
1602320206,0,1
1602325967,2,1
1602327854,1,1
1602331724,2,1
1602333617,1,1
1602341293,0,1
1602343245,1,0
1602345139,1,1
1602349001,0,1
1602350892,0,1
1602352850,0,1
1602354739,0,1
1602356659,1,2
1602362418,1,0
1602364367,2,0
1602370341,1,0
1602372286,1,1
1602376343,0,1
1602378256,0,2
1602382096,0,1
1602384016,1,1
1602385966,1,1
1602387858,0,1
1602395531,1,0
1602399373,3,0
1602401292,0,1
1602403260,1,0
1602410901,0,1
1602412816,0,1
1602414765,0,1
1602418573,0,2
1602420518,0,1
1602430092,2,2
1602432125,2,0
1602435856,0,1
1602443566,2,1
1602445458,1,0
1602449327,1,2
1602453136,1,0
1602458892,1,2
1602470415,0,1
1602472364,1,1
1602481934,2,1
1602483882,3,0
1602485779,0,3
1602487696,2,0
1602489695,2,1
1602497299,1,0
1602501408,1,0
1602503297,2,0
1602505215,1,1
1602507165,1,0
1602514904,1,0
1602516771,1,3
1602518659,1,0
1602520576,3,0
1602522528,1,0
1602524414,3,0
1602526340,1,0
1602528282,1,1
1602530176,1,2
1602532093,0,1
1602535934,0,1
1602537863,1,0
1602539800,0,1
1602543680,1,1
1602545568,1,0
1602551331,1,0
1602553219,0,1
1602555174,1,0
1602557058,0,1
1602562813,1,0
1602568576,70,2
1602570520,57,3
1602572488,32,1
1602574338,20,2
1602576291,13,2
1602578174,11,0
1602580097,5,0
1602582049,11,0
1602583938,9,1
1602585854,3,1
1602589691,0,1
1602591615,0,1
1602593566,0,1
1602595458,1,0
1602599322,1,0
1602601273,15,0
1602603138,11,1
1602605085,15,3
1602606976,5,2
1602609143,10,0
1602611058,5,3
1602613005,3,1
1602614894,4,1
1602616812,7,1
1602618765,2,0
1602620658,0,1
1602624527,0,1
1602628335,1,0
1602630295,0,1
1602632175,1,1
1602634131,2,0
1602637938,1,1
1602645644,1,0
1602647536,1,0
1602649460,0,1
1602653295,1,0
1602655239,0,2
1602657167,4,6
1602659056,1,7
1602660979,11,6
1602662929,52,12
1602664816,70,1
1602666767,60,3
1602668660,70,4
1602670574,33,4
1602672525,99,0
1602674412,33,0
1602676338,34,0
1602678285,32,0
1602680176,8,0
1602682094,25,1
1602684047,11,0
1602685937,11,2
1602687885,17,0
1602689778,7,1
1602691704,7,3
1602693647,3,2
1602695782,4,2
1602697695,4,0
1602699650,4,2
1602701535,10,0
1602703456,8,2
1602705402,7,1
1602707293,5,7
1602709265,2,0
1602711168,2,0
1602713065,2,0
1602714979,1,1
1602716927,2,0
1602718821,1,1
1602720839,4,1
1602723026,6,0
1602725188,3,0
1602727360,1,0
1602729235,1,0
1602731090,3,1
1602732978,5,0
1602734902,2,1
1602736819,4,0
1602738743,3,0
1602740685,1,1
1602742574,0,2
1602744504,0,6
1602746441,2,0
1602748352,0,2
1602750254,0,1
1602752213,2,4
1602754098,1,4
1602756047,3,11
1602757940,1,1
1602759861,2,5
1602761812,2,0
1602763700,5,4
1602765617,5,3
1602767570,4,10
1602769455,2,4
1602771617,3,4
1602773533,2,14
1602775491,5,2
1602777381,4,2
1602779293,2,6
1602781362,4,2
1602783402,2,3
1602785289,2,2
1602787257,0,5
1602789141,0,3
1602791060,2,5
1602793010,4,3
1602794895,2,2
1602796813,4,1
1602798773,0,2
1602800655,3,1
1602802579,4,1
1602804527,2,1
1602806486,2,2
1602808373,1,3
1602810268,2,5
1602812177,1,2
1602814131,3,1
1602816015,1,3
1602817936,5,4
1602819886,1,5
1602821773,0,5
1602823691,0,4
1602827534,2,1
1602829469,4,0
1602831402,4,0
1602833292,8,2
1602835282,1,1
1602837165,2,0
1602839055,0,2
1602840977,0,2
1602842928,2,7
1602844823,1,2
1602846979,3,5
1602848899,5,3
1602850847,5,4
1602852738,6,6
1602854658,2,2
1602856609,4,4
1602858494,1,3
1602860505,2,7
1602862368,0,2
1602864256,5,2
1602866179,7,4
1602868130,4,4
1602870015,4,2
1602871941,3,2
1602873888,5,0
1602875777,0,2
1602877699,2,4
1602879654,3,4
1602881550,4,1
1602883463,0,7
1602885404,5,4
1602887296,5,4
1602889323,5,5
1602891174,4,1
1602893065,1,3
1602894980,2,3
1602896952,5,5
1602898818,5,3
1602900738,2,1
1602902687,1,4
1602904575,0,3
1602906496,4,0
1602908444,3,1
1602910337,3,1
1602912263,3,0
1602914208,1,4
1602916096,2,2
1602918267,1,4
1602920181,3,4
1602922134,2,5
1602924022,3,1
1602925939,2,0
1602927885,2,1
1602929776,1,4
1602931693,2,2
1602933647,4,5
1602935537,2,5
1602937457,2,1
1602939403,5,4
1602941390,2,2
1602943240,5,3
1602945137,1,2
1602947089,8,1
1602948983,3,2
1602950899,2,4
1602952853,2,3
1602954754,0,2
1602956662,0,3
