DateTime,AddedIPs,RemovedIPs
1601807078,0,1
1601820496,2,0
1601824364,0,1
1601826250,1,0
1601830118,1,0
1601832008,1,1
1601833928,1,0
1601835878,1,0
1601837775,1,0
1601839688,1,0
1601847661,2,0
1601851471,0,1
1601853384,0,2
1601857258,0,1
1601861103,2,1
1601864912,1,1
1601874793,1,1
1601876654,1,1
1601878578,1,0
1601880535,0,1
1601890118,1,1
1601892139,1,1
1601909537,0,2
1601911482,1,0
1601915536,0,1
1601919409,0,1
1601923218,0,3
1601925165,3,0
1601927054,1,0
1601928975,0,2
1601930920,1,0
1601932815,0,1
1601940739,2,0
1601950363,0,1
1601952258,1,2
1601954175,1,0
1601958280,1,0
1601962091,0,2
1601965945,0,1
1601969799,1,0
1601973615,1,0
1601975566,2,0
1601979378,1,1
1601981322,0,1
1601987081,1,0
1601988974,1,0
1601994740,1,0
1601996659,0,1
1602008173,0,1
1602010122,3,0
1602012015,1,4
1602013935,0,1
1602017774,0,1
1602021639,1,0
1602025481,1,1
1602029300,1,0
1602031239,2,1
1602033380,1,0
1602035293,1,0
1602037241,1,0
1602039138,0,1
1602043002,0,1
1602044897,0,1
1602048032,1,0
1602053794,1,0
1602055687,0,1
1602059556,0,1
1602061450,0,1
1602065318,0,1
1602067208,1,1
1602069412,1,0
1602073242,2,0
1602077096,1,2
1602080924,1,1
1602082918,1,1
1602086698,1,0
1602094596,0,1
1602096487,0,1
1602100358,0,1
1602104168,1,0
1602108041,0,1
1602111867,0,1
1602115750,1,1
1602117670,3,1
1602119559,0,1
1602121523,0,1
1602131109,4,0
1602134911,0,1
1602138836,0,1
1602142600,1,0
1602148362,1,0
1602150249,1,0
1602154114,1,1
1602156009,1,0
1602159879,1,2
1602163936,1,0
1602167806,0,2
1602169688,1,1
1602173562,1,1
1602175453,1,0
1602179291,2,0
1602183159,1,0
1602190837,2,1
1602192734,1,0
1602194681,2,0
1602202336,1,0
1602204278,1,3
1602206174,1,1
1602210042,3,0
1602211933,1,0
1602213858,0,1
1602220579,1,1
1602222758,1,0
1602224662,2,0
1602226626,1,0
1602230452,0,1
1602234273,3,1
1602238173,1,0
1602240039,0,2
1602241972,3,1
1602243897,2,0
1602245801,2,1
1602249667,2,0
1602253501,2,0
1602255442,0,2
1602259235,0,1
1602261158,1,0
1602263058,1,1
1602266920,0,1
1602268816,0,1
1602272699,1,1
1602274594,1,0
1602276518,0,2
1602278438,0,2
1602280331,1,1
1602289957,0,3
1602291851,2,0
1602293770,1,0
1602295725,0,4
1602297612,1,1
1602305413,1,0
1602307273,2,2
1602309159,0,1
1602311121,0,2
1602313025,1,1
1602314923,1,0
1602318774,1,0
1602320671,0,3
1602326458,1,0
1602328356,0,1
1602330298,2,2
1602332181,1,3
1602334108,3,1
1602336082,0,1
1602337947,1,0
1602339939,1,1
1602343710,0,2
1602347572,0,1
1602349521,0,1
1602359072,0,1
1602360999,0,1
1602362916,1,0
1602366754,0,1
1602368712,2,0
1602370608,1,0
1602379228,0,1
1602381150,0,2
1602383104,0,1
1602385035,1,0
1602390749,0,1
1602394602,0,2
1602396493,1,0
1602400378,1,2
1602402254,1,0
1602406122,0,1
1602408012,1,0
1602411878,0,1
1602413774,1,0
1602415691,0,2
1602419536,0,3
1602421714,0,1
1602423647,0,1
1602427475,0,1
1602431565,2,0
1602433485,2,0
1602437292,1,0
1602441137,0,1
1602443059,1,0
1602445016,1,0
1602446989,1,0
1602448866,0,1
1602450825,1,0
1602454597,2,1
1602456556,1,2
1602460378,2,0
1602462305,1,0
1602469955,1,0
1602471893,3,1
1602477642,1,0
1602481716,0,1
1602483611,1,0
1602485781,2,0
1602487697,0,1
1602489698,1,1
1602497301,0,1
1602499220,0,1
1602505218,1,0
1602507166,2,0
1602514919,1,0
1602518661,2,2
1602522529,0,2
1602530177,1,1
1602535935,0,2
1602537865,0,1
1602539802,1,2
1602543689,1,1
1602545569,1,0
1602547457,2,1
1602549376,4,1
1602551332,2,1
1602553221,3,0
1602557060,1,2
1602558975,2,2
1602560927,2,0
1602562815,1,0
1602564736,2,0
1602566659,2,1
1602568577,0,1
1602570521,1,1
1602572497,0,1
1602574341,1,0
1602576294,0,1
1602582051,1,0
1602583939,2,0
1602585855,1,0
1602587807,2,0
1602589692,1,0
1602591616,1,0
1602593567,1,2
1602595459,1,1
1602597376,1,0
1602601291,2,2
1602605086,0,1
1602606977,0,1
1602609144,1,0
1602613006,0,1
1602616814,2,1
1602620659,1,0
1602622577,3,0
1602624529,1,0
1602626453,1,1
1602630297,0,1
1602632176,1,2
1602634133,3,3
1602636016,0,3
1602637939,0,2
1602639888,2,3
1602641780,2,0
1602643698,1,1
1602645646,3,2
1602647538,0,1
1602649462,1,2
1602651407,0,1
1602653296,0,2
1602655241,1,1
1602657169,1,0
1602659057,2,0
1602660981,2,1
1602662930,1,0
1602664818,3,0
1602666768,2,0
1602668663,1,1
1602670576,2,2
1602672526,0,1
1602674413,1,0
1602676339,0,3
1602678286,1,0
1602680177,1,1
1602682096,1,1
1602684048,0,1
1602687887,1,0
1602689780,1,0
1602693648,1,0
1602695784,2,1
1602697697,2,0
1602703458,1,2
1602705403,1,0
1602707295,0,2
1602709285,1,2
1602711169,1,0
1602713066,1,1
1602714981,1,1
1602716928,0,1
1602718823,0,2
1602720840,1,1
1602725190,3,1
1602727361,2,0
1602729236,2,2
1602731091,2,3
1602734903,5,1
1602736820,0,1
1602740687,2,1
1602742575,2,1
1602744506,3,1
1602746442,2,3
1602748354,1,1
1602750256,2,3
1602752216,2,3
1602754100,1,2
1602756051,1,1
1602757942,4,2
1602759864,1,0
1602761814,0,1
1602763702,1,0
1602765618,0,1
1602767571,2,1
1602769456,1,0
1602771619,1,1
1602773534,1,0
1602775493,0,1
1602781365,1,1
1602783404,1,2
1602785291,2,2
1602787259,1,0
1602789143,2,0
1602791061,3,1
1602793012,0,1
1602794896,2,1
1602798775,0,1
1602800656,0,2
1602802581,1,0
1602806501,1,0
1602808374,2,1
1602810269,1,3
1602812179,0,2
1602814132,1,0
1602816017,2,1
1602817937,1,1
1602819887,1,1
1602821775,5,3
1602823693,1,0
1602825647,3,2
1602827535,2,3
1602829471,3,1
1602831403,3,4
1602833293,2,2
1602835311,1,1
1602837167,3,1
1602839056,1,3
1602840978,0,1
1602842930,2,2
1602844825,2,3
1602850848,1,1
1602854659,0,3
1602858495,0,2
1602860523,0,1
1602862369,1,0
1602866181,0,1
1602868131,1,1
1602870017,2,1
1602871943,1,2
1602873889,0,2
1602875778,0,1
1602877700,1,1
1602879657,3,0
1602881552,2,3
1602883464,1,0
1602885405,1,0
1602887298,2,0
1602889354,1,1
1602891175,0,1
1602893067,3,0
1602894981,1,2
1602896962,1,1
1602898819,1,2
1602900740,1,0
1602902689,1,3
1602904577,1,0
1602906498,5,1
1602908446,3,6
1602910339,2,0
1602912265,1,3
1602914209,3,2
1602916098,2,3
1602918269,2,2
1602920182,3,1
1602922135,0,3
1602925941,0,2
1602927887,0,1
1602929778,3,2
1602931694,0,2
1602933648,1,0
1602935538,1,0
1602937458,1,1
1602939404,1,0
1602941391,1,0
1602943241,2,0
1602945138,1,0
1602948985,0,1
1602952854,3,0
1602956663,1,0
1602958608,0,2
1602960500,3,3
1602962423,1,0
1602964372,0,1
1602966260,0,3
1602968178,2,1
1602970124,4,0
1602972057,1,2
1602973941,1,3
1602975907,0,1
1602977776,1,0
1602979703,1,3
1602981649,1,1
1602983546,0,1
1602985458,1,2
1602987407,0,1
1602993171,0,3
1602995060,3,3
1602996981,1,1
1602998926,0,2
1603000906,1,1
1603002739,2,2
1603004685,1,3
1603006575,0,3
1603010446,1,0
1603016207,1,4
1603018101,0,1
1603020014,1,1
1603022000,1,1
1603023857,0,1
1603025781,1,1
1603027729,0,1
1603029653,1,2
1603031575,0,1
1603039220,0,2
1603041141,1,0
1603043089,1,1
1603044977,1,0
1603046896,0,3
1603048847,2,1
1603050745,2,0
1603054609,0,2
1603056497,1,4
1603058444,2,1
1603060372,2,1
1603062267,1,0
1603064183,2,1
1603066127,1,1
1603068022,2,1
1603069980,2,0
1603071864,0,1
1603073778,2,0
1603075730,1,0
1603077618,3,0
1603079573,3,0
1603081461,0,5
1603083406,0,1
1603085295,1,0
1603087254,3,1
1603089164,1,2
1603091066,2,1
1603092972,0,1
1603096815,0,1
1603102578,0,1
1603104496,2,1
1603106443,0,1
1603108340,1,1
1603112201,2,1
1603116276,1,1
1603120135,1,0
1603122022,3,0
1603127773,1,1
1603129699,2,1
1603131642,0,1
1603133545,1,0
1603135456,1,2
1603137405,0,2
1603139292,1,0
1603143167,0,1
1603145058,1,2
1603146971,0,1
1603148932,1,2
1603150812,0,1
1603152736,1,0
1603154682,1,2
1603156574,1,1
1603160458,2,2
1603162334,1,1
1603164252,0,3
1603166204,1,3
1603168099,1,0
1603170104,1,1
1603173892,1,2
1603175775,3,1
1603177694,0,1
1603179646,2,0
1603183457,2,0
1603185402,0,1
1603189249,0,1
