DateTime,Entries,UniqueIPs
1602223935,1724,1724
1602225881,1729,1729
1602227771,1701,1701
1602229937,1724,1724
1602231859,1730,1730
1602233808,1605,1605
1602235694,1600,1600
1602237656,1605,1605
1602239570,1545,1545
1602241456,1553,1553
1602243374,1558,1558
1602245330,1540,1540
1602247216,1541,1541
1602249140,1542,1542
1602251090,1547,1547
1602252976,1554,1554
1602254893,1548,1548
1602256846,1560,1560
1602258742,1285,1285
1602260658,1288,1288
1602262603,1288,1288
1602264495,1291,1291
1602266433,1278,1278
1602268366,1275,1275
1602270262,1346,1346
1602272175,1357,1357
1602274128,1353,1353
1602276016,1362,1362
1602277937,1366,1366
1602279886,1361,1361
1602281772,1351,1351
1602283696,1343,1343
1602285643,1345,1345
1602287534,1339,1339
1602289457,1332,1332
1602291407,1339,1339
1602293295,1341,1341
1602295292,1336,1336
1602297163,1332,1332
1602299066,1339,1339
1602300977,1334,1334
1602302929,1264,1264
1602304816,1265,1265
1602306742,1262,1262
1602308684,1265,1265
1602310576,1257,1257
1602312492,1259,1259
1602314446,1264,1264
1602316335,1273,1273
1602318260,1283,1283
1602320208,1284,1284
1602322095,1285,1285
1602324106,1289,1289
1602325968,1288,1288
1602327855,1287,1287
1602329779,1285,1285
1602331725,1287,1287
1602333619,1289,1289
1602335538,1290,1290
1602337485,1296,1296
1602339374,1291,1291
1602341295,1292,1292
1602343246,1282,1282
1602345140,1292,1292
1602347054,1325,1325
1602349002,1336,1336
1602350893,1333,1333
1602352851,1338,1338
1602354740,1335,1335
1602356660,1261,1261
1602358606,1254,1254
1602360497,1256,1256
1602362419,1258,1258
1602364367,1262,1262
1602366253,1278,1278
1602368416,1280,1280
1602370342,1281,1281
1602372287,1281,1281
1602374177,1285,1285
1602376344,1293,1293
1602378257,1292,1292
1602380204,1285,1285
1602382097,1299,1299
1602384017,1308,1308
1602385967,1306,1306
1602387860,1305,1305
1602389774,1307,1307
1602391724,1312,1312
1602393612,1319,1319
1602395532,1312,1312
1602397480,1309,1309
1602399374,1292,1292
1602401293,1023,1023
1602403263,1281,1281
1602405133,1258,1258
1602407059,1251,1251
1602408998,1250,1250
1602410902,1229,1229
1602412817,1228,1228
1602414766,1238,1238
1602416655,1236,1236
1602418576,1239,1239
1602420519,1239,1239
1602422415,1237,1237
1602424337,1224,1224
1602426287,1229,1229
1602428178,1232,1232
1602430093,1231,1231
1602432145,1196,1196
1602434194,1190,1190
1602436091,1180,1180
1602438013,1172,1172
1602439962,1167,1167
1602441851,1157,1157
1602443768,1157,1157
1602445712,1164,1164
1602447606,1173,1173
1602449527,1160,1160
1602451480,1147,1147
1602453366,1136,1136
1602455285,1132,1132
1602457291,1121,1121
1602459133,1122,1122
1602461052,1118,1118
1602462997,1113,1113
1602464892,1108,1108
1602466807,1104,1104
1602468756,1104,1104
1602470653,1109,1109
1602472566,1240,1240
1602474592,1237,1237
1602476409,1241,1241
1602478328,1241,1241
1602480277,1248,1248
1602482169,1253,1253
1602484334,1268,1268
1602486251,1270,1270
1602488195,1276,1276
1602490093,1281,1281
1602492008,1291,1291
1602493960,1291,1291
1602495850,1287,1287
1602497768,1310,1310
1602499718,1315,1315
1602501605,1319,1319
1602503554,1319,1319
1602505448,1316,1316
1602508605,1342,1342
1602510509,1351,1351
1602512479,1350,1350
1602514348,1349,1349
1602516270,1357,1357
1602518226,1368,1368
1602520089,1349,1349
1602522988,1346,1346
1602524922,1357,1357
1602526878,1367,1367
1602528761,1381,1381
1602530684,1381,1381
1602532613,1382,1382
1602534517,1374,1374
1602537377,1447,1447
1602539288,1454,1454
1602541236,1457,1457
