DateTime,Entries,UniqueIPs
1602225881,1696,1696
1602227771,1700,1700
1602229938,1731,1731
1602231859,1737,1737
1602233814,1747,1747
1602235694,1738,1738
1602237658,1682,1682
1602239571,1697,1697
1602241457,1681,1681
1602243375,1679,1679
1602245330,1679,1679
1602247216,1676,1676
1602249140,1662,1662
1602251091,1673,1673
1602252977,1673,1673
1602254894,1674,1674
1602256853,1667,1667
1602258742,1638,1638
1602260659,1647,1647
1602262603,1654,1654
1602264496,1648,1648
1602266434,1648,1648
1602268367,1640,1640
1602270269,1649,1649
1602272175,1646,1646
1602274129,1636,1636
1602276017,1633,1633
1602277938,1605,1605
1602279886,1601,1601
1602281773,1579,1579
1602283697,1572,1572
1602285643,1580,1580
1602287535,1566,1566
1602289458,1556,1556
1602291407,1557,1557
1602293302,1564,1564
1602295294,1575,1575
1602297164,1571,1571
1602299067,1549,1549
1602300977,1541,1541
1602302929,1538,1538
1602304817,1539,1539
1602306744,1535,1535
1602308685,1518,1518
1602310577,1522,1522
1602312493,1515,1515
1602314447,1530,1530
1602316335,1504,1504
1602318261,1500,1500
1602320214,1475,1475
1602322095,1477,1477
1602324112,1506,1506
1602325969,1463,1463
1602327856,1460,1460
1602329785,1463,1463
1602331726,1463,1463
1602333619,1454,1454
1602335539,1458,1458
1602337486,1448,1448
1602339374,1453,1453
1602341301,1443,1443
1602343247,1439,1439
1602345140,1456,1456
1602347054,1444,1444
1602349003,1440,1440
1602350894,1440,1440
1602352852,1441,1441
1602354747,1441,1441
1602356661,1430,1430
1602358612,1418,1418
1602360497,1424,1424
1602362419,1407,1407
1602364368,1412,1412
1602366253,1407,1407
1602368417,1423,1423
1602370343,1411,1411
1602372288,1408,1408
1602374178,1406,1406
1602376345,1403,1403
1602378258,1395,1395
1602380205,1392,1392
1602382097,1363,1363
1602384018,1367,1367
1602385968,1373,1373
1602387866,1419,1419
1602389775,1421,1421
1602391724,1408,1408
1602393612,1399,1399
1602395533,1390,1390
1602397481,1397,1397
1602399375,1407,1407
1602401294,1406,1406
1602403267,1409,1409
1602405134,1403,1403
1602407065,1413,1413
