DateTime,AddedIPs,RemovedIPs
1602208090,1,2
1602210043,0,1
1602211934,2,2
1602213858,1,2
1602215830,4,1
1602217691,1,3
1602219670,3,1
1602221562,1,0
1602223454,3,0
1602225373,1,8
1602227318,2,0
1602229217,1,0
1602231131,1,1
1602233081,2,3
1602234971,3,2
1602237135,0,3
1602239062,1,1
1602241003,0,3
1602244859,3,1
1602246759,2,2
1602248657,0,8
1602250576,7,1
1602252526,4,6
1602254410,2,1
1602256342,4,2
1602258362,0,19
1602260207,1,0
1602262125,2,0
1602264053,1,1
1602265954,0,3
1602267877,2,0
1602269832,2,0
1602273643,2,3
1602275563,3,1
1602277519,2,2
1602279412,0,13
1602281348,5,5
1602283241,1,4
1602285154,2,3
1602287113,1,1
1602288987,3,4
1602290908,1,1
1602292873,0,2
1602294751,0,2
1602296674,1,0
1602298632,2,1
1602300515,0,1
1602302463,2,3
1602304365,1,1
1602306256,5,4
1602308172,4,2
1602310128,1,4
1602312011,1,1
1602313935,10,2
1602315881,6,2
1602317776,1,3
1602319689,2,1
1602321645,0,2
1602323531,3,2
1602325454,1,1
1602329293,2,0
1602331248,3,2
1602333164,2,1
1602336973,5,8
1602338918,0,5
1602340848,1,3
1602342732,2,5
1602344683,1,1
1602346568,3,1
1602348492,0,4
1602350412,2,1
1602352334,3,0
1602354280,3,3
1602356175,0,1
1602358089,8,0
1602360057,2,2
1602361951,2,3
1602363885,2,2
1602365798,2,2
1602367694,5,5
1602369613,1,2
1602371566,2,2
1602373451,1,3
1602375423,2,1
1602377332,3,2
1602381150,1,0
1602383111,1,0
1602385036,2,0
1602388863,3,2
1602390750,0,1
1602392589,3,4
1602394603,4,3
1602396494,4,0
1602398418,3,2
1602400380,4,10
1602402256,0,6
1602404171,1,2
1602406124,7,1
1602408014,3,0
1602409935,4,3
1602411879,1,1
1602413776,2,0
1602415692,9,2
1602417658,0,4
1602419538,4,3
1602421716,4,0
1602423648,3,4
1602425598,0,1
1602427476,6,1
1602429684,5,3
1602431566,2,3
1602433489,2,1
1602435379,1,0
1602437293,1,2
1602439301,3,4
1602441138,3,2
1602443061,2,1
1602445017,3,1
1602446990,3,1
1602448868,2,0
1602450826,5,2
1602452686,1,2
1602454598,9,4
1602456558,2,2
1602458452,3,1
1602460379,2,1
1602462308,2,6
1602464202,4,2
1602466151,6,0
1602468086,2,0
1602469956,2,1
1602471895,3,3
1602473833,6,1
1602475739,1,1
1602477643,6,0
1602479689,2,4
1602481718,3,7
1602483613,3,2
1602485782,2,1
1602487700,1,1
1602489701,2,0
1602491541,2,3
1602493466,0,6
1602495410,2,1
1602497302,0,5
1602499221,4,2
1602501410,4,6
1602503301,3,3
1602505220,5,4
1602507167,2,0
1602509059,3,4
1602511009,1,3
1602512897,1,1
1602514938,4,7
1602516774,2,0
1602518663,0,5
1602520579,6,2
1602522531,1,0
1602524417,1,3
1602526343,3,3
1602528287,3,4
1602530179,1,2
1602532096,1,5
1602534046,2,3
1602535936,2,2
1602537866,0,1
1602539804,4,7
1602541696,3,2
1602543697,1,2
1602545570,2,5
1602547459,0,2
1602549378,3,3
1602551333,2,4
1602553224,2,5
1602555176,1,1
1602557064,1,4
1602558977,4,2
1602560928,0,5
1602562816,3,5
1602564738,0,5
1602566661,0,1
1602568578,0,5
1602570522,3,2
1602572501,5,2
1602574345,2,2
1602576296,5,2
1602578176,7,2
1602580100,8,1
1602582052,6,3
1602583942,8,0
1602585858,8,5
1602587808,6,1
1602589694,7,4
1602591617,9,6
1602593569,1,5
1602595461,3,3
1602597379,9,1
1602599324,4,2
1602601309,3,2
1602603141,6,0
1602605087,2,2
1602606980,2,6
1602609145,5,1
1602611061,11,1
1602613007,8,2
1602614897,0,1
1602616815,3,3
1602618768,56,0
1602620661,0,1
1602622579,1,2
1602624530,1,2
1602626454,1,4
1602628340,5,3
1602630298,6,0
1602632177,3,2
1602634137,4,5
1602636017,0,2
1602637943,3,1
1602639889,4,3
1602641781,4,2
1602643700,4,0
1602645647,2,4
1602647539,8,0
1602649465,7,4
1602651409,2,0
1602653297,2,2
1602655245,54,0
1602657170,1,4
1602659058,3,5
1602660983,2,3
1602662931,4,5
1602664819,5,6
1602666769,3,4
1602668668,1,7
1602670579,1,6
1602672528,2,10
1602674416,1,5
1602676341,0,8
1602678288,3,7
1602680179,3,3
1602682097,5,5
1602684049,1,6
1602685941,4,1
1602687888,4,4
1602689782,3,2
1602691707,7,1
1602693649,2,2
1602695785,2,4
1602697699,4,10
1602699654,2,5
1602701539,0,2
1602703460,7,4
1602705404,1,56
1602707297,4,0
1602709302,2,1
1602711170,3,2
1602713068,3,1
1602714982,2,5
1602716930,4,8
1602718824,1,2
1602720841,5,5
1602723029,0,1
1602725191,5,7
1602727363,3,4
1602729238,5,3
1602731092,3,3
1602732982,1,4
1602734906,5,8
1602736822,1,4
1602738746,4,1
1602740688,3,56
1602742577,4,4
1602744509,6,2
1602746444,6,0
1602748356,0,4
1602750257,3,5
1602752220,4,0
1602754102,3,3
1602756056,2,1
1602757943,3,3
1602759866,4,0
1602761816,4,3
1602763705,3,3
1602765620,5,3
1602767573,0,5
1602769457,4,2
1602771622,1,1
1602773536,12,7
1602775494,1,2
1602777386,2,5
1602779296,5,3
1602781369,5,2
1602783406,4,6
1602785292,5,4
1602787260,4,0
1602789145,5,2
1602791063,3,4
1602793013,3,3
1602794897,4,0
1602796816,3,1
1602798777,4,3
1602800658,2,4
1602802582,3,1
1602804530,2,7
1602806517,5,5
1602808376,3,0
1602810271,3,4
1602812181,4,2
1602814133,5,4
1602816019,3,5
1602817938,1,2
1602819889,4,3
1602821776,4,3
1602823695,3,2
1602825649,2,4
1602827538,5,1
1602829473,1,5
1602831405,4,5
1602833295,3,5
1602835360,2,0
1602837168,2,5
1602839058,0,3
1602840980,3,1
1602842932,3,4
1602844827,3,2
1602846983,1,5
1602848902,3,3
1602850850,3,2
1602852741,5,5
1602854661,3,2
1602856614,6,2
1602858497,5,3
1602860562,5,12
1602862371,4,0
1602864260,2,3
1602866183,13,5
1602868133,2,4
1602870019,9,4
1602871945,4,8
1602873891,4,3
1602875781,2,4
1602877703,3,0
1602879661,3,1
1602881554,2,5
1602883466,5,2
1602885407,0,2
1602887299,8,2
1602889396,2,3
1602891615,1,6
1602893534,2,4
1602895481,4,4
1602897376,2,3
1602899294,3,3
1602901240,4,3
1602903141,4,4
1602905073,3,1
1602907028,7,4
1602908914,2,2
1602910904,22,4
1602912773,4,4
1602914657,4,2
1602916603,3,1
1602918521,2,5
1602920413,2,3
1602922330,1,6
1602924281,1,1
1602926171,3,3
1602928091,3,4
1602930042,11,1
1602931935,3,3
1602933853,2,1
1602935800,3,2
1602937693,6,5
1602939697,3,5
1602941537,5,2
1602943484,7,5
1602945393,6,4
1602947569,3,4
1602949506,10,1
1602951451,2,5
1602953330,7,4
1602955238,5,4
1602957186,10,2
1602959068,17,4
1602960994,2,4
1602962935,0,1
1602964858,8,7
1602966736,0,2
1602968682,4,0
1602970574,0,4
1602972493,3,0
1602974445,4,12
1602976339,3,2
1602978255,1,2
1602980199,3,1
1602982092,1,3
1602984009,10,3
1602985964,2,3
1602987856,1,6
1602989777,4,5
1602991718,0,1
1602993665,0,5
1602995533,4,3
1602997493,2,23
1602999377,1,2
1603001300,3,4
1603003240,1,2
1603007051,2,2
1603008998,2,2
1603010889,3,0
1603012817,2,2
1603014761,2,3
1603016654,0,10
1603018572,3,3
1603020522,2,2
1603022465,3,5
1603024332,2,6
1603026281,3,2
1603028173,6,4
1603030094,3,5
1603032017,1,6
1603033931,1,4
1603035889,2,10
1603037771,4,2
1603039700,3,6
1603041637,3,6
1603043538,1,10
1603045457,4,2
1603047403,3,2
1603049291,4,0
1603051295,4,6
1603055056,1,4
1603056975,2,4
1603058924,0,3
1603060816,7,4
1603062734,5,2
1603064682,2,2
1603066575,1,2
1603068490,0,1
1603070413,0,9
1603072331,2,2
1603074286,0,1
1603076179,2,4
1603078090,1,1
1603080992,5,2
1603082904,0,2
1603084843,3,2
1603086734,2,4
1603088676,1,0
1603090609,0,4
1603092491,4,2
1603094518,1,0
1603096364,1,1
1603098282,0,4
1603100180,1,1
1603102138,3,0
1603104044,3,1
1603105999,5,3
1603107897,3,5
1603110057,6,1
1603111946,2,3
1603113883,3,6
1603115835,0,2
1603117739,4,1
1603119721,3,0
1603121586,3,0
1603123474,2,5
1603125414,1,2
1603127337,12,7
1603129250,1,0
1603131205,1,5
1603133109,3,10
1603135029,3,2
1603136922,5,6
1603138874,2,0
1603140749,0,2
1603142682,3,4
1603144634,2,5
1603146491,5,8
1603148503,5,4
1603150362,1,1
1603152254,4,1
1603154170,3,0
1603156121,11,0
1603158011,4,2
1603159934,3,0
1603161880,2,1
1603165691,2,5
1603167611,5,2
1603169531,2,3
1603171457,1,0
1603173370,2,4
1603175322,0,1
1603177364,5,0
1603179376,2,4
1603181543,3,1
1603183460,3,1
1603185404,0,1
1603187311,5,2
1603189252,4,3
