DateTime,AddedIPs,RemovedIPs
1602198985,3,3
1602200897,2,4
1602202848,7,4
1602204740,0,3
1602206663,2,1
1602208618,2,3
1602212591,3,2
1602214569,3,3
1602216520,1,2
1602218421,0,1
1602220334,2,3
1602222283,4,1
1602224174,3,7
1602226096,2,2
1602228038,4,2
1602229944,0,2
1602231862,4,1
1602233819,2,2
1602235697,4,6
1602237666,4,5
1602239573,1,3
1602243379,1,0
1602245334,3,1
1602247219,2,2
1602249142,1,6
1602251094,4,1
1602252980,5,3
1602254896,0,4
1602256855,0,3
1602258745,2,2
1602260662,3,2
1602262610,3,2
1602264499,2,0
1602266437,0,1
1602268369,2,3
1602270276,2,2
1602272180,0,3
1602274132,2,1
1602276020,1,1
1602277940,1,5
1602279889,6,0
1602281775,0,2
1602283700,1,3
1602285646,1,1
1602287538,5,3
1602289462,2,6
1602291412,3,0
1602293305,2,2
1602295309,3,2
1602297166,2,4
1602299069,0,2
1602300980,2,3
1602302932,0,3
1602304822,1,0
1602306746,5,3
1602308688,3,3
1602310579,3,4
1602312496,3,2
1602314449,6,3
1602316338,0,3
1602318264,2,4
1602320217,0,2
1602322098,0,1
1602324130,2,5
1602325971,0,1
1602329787,3,1
1602331729,2,3
1602333622,1,3
1602335541,1,1
1602337489,1,3
1602339377,3,4
1602341304,2,0
1602343249,1,2
1602345143,3,2
1602347057,1,2
1602349005,6,2
1602350896,1,3
1602352855,4,0
1602354749,2,1
1602356665,2,3
1602358614,5,2
1602360500,2,1
1602362422,0,1
1602364370,2,2
1602366256,2,3
1602368419,2,0
1602370346,3,2
1602372291,4,1
1602374182,1,4
1602376348,2,2
1602378261,0,3
1602380208,1,3
1602382100,0,3
1602384023,2,0
1602385971,2,1
1602387870,2,1
1602389778,3,1
1602391728,2,1
1602393615,2,8
1602395535,0,1
1602397483,4,5
1602399380,2,4
1602401296,2,2
1602403284,5,2
1602405138,2,0
1602407068,1,0
1602409001,3,1
1602410905,3,1
1602412821,1,0
1602414770,2,0
1602416664,3,3
1602418581,1,2
1602420523,1,4
1602422419,1,1
1602424343,0,1
1602426291,2,3
1602428183,3,2
1602430096,2,1
1602432160,3,4
1602434199,1,2
1602436096,4,5
1602438016,5,5
1602439965,6,2
1602441854,1,3
1602443778,2,1
1602445716,4,1
1602447610,1,2
1602449530,1,1
1602451484,2,0
1602453371,1,2
1602455290,1,0
1602457369,1,2
1602459397,5,3
1602461292,3,1
1602463210,7,3
1602465161,2,1
1602468975,1,0
1602470922,2,3
1602472811,0,2
1602474734,2,2
1602476680,6,2
1602478573,2,3
1602480492,3,1
1602482443,2,0
1602484338,2,3
1602486254,0,1
1602488204,0,2
1602490096,3,4
1602492011,1,1
1602493964,0,3
1602495859,0,2
1602497771,2,2
1602499720,0,1
1602501615,4,4
1602503558,1,0
1602505451,2,1
1602507716,3,0
1602509558,2,2
1602511462,5,3
1602513380,1,2
1602515331,3,2
1602517221,1,2
1602519177,2,3
1602521099,0,2
1602522990,0,5
1602524924,0,2
1602526880,3,6
1602528763,5,3
1602530686,0,4
1602532616,0,2
1602534520,1,2
1602536511,1,4
1602538428,1,1
1602540283,6,1
1602542192,3,2
1602544128,0,4
1602546089,1,1
1602547949,3,4
1602549904,1,9
1602551781,2,3
1602553709,0,1
1602555656,0,1
1602557555,0,2
1602559495,0,2
1602561396,0,2
1602563330,2,6
1602565319,0,1
1602567388,2,6
1602569310,1,1
1602571251,4,1
1602573158,1,0
1602575068,1,1
1602577032,1,0
1602578954,2,1
1602580847,3,0
1602582783,4,1
1602584681,1,1
1602586640,2,1
1602588521,1,4
1602590453,2,1
1602592332,2,3
1602594285,2,0
1602596188,1,2
1602598184,2,4
1602600044,2,2
1602601940,2,2
1602603859,3,1
1602605799,1,3
1602607689,2,0
1602611582,10,0
1602613476,0,3
1602615396,0,5
1602617353,2,0
1602619292,2,1
1602621165,5,0
1602623093,3,1
1602624986,2,3
1602626911,0,7
1602628867,1,2
1602630773,6,0
1602632724,3,1
1602634590,1,3
1602636502,1,5
1602638462,0,3
1602640349,0,1
1602642268,2,0
1602644259,4,0
1602648088,0,1
1602649995,1,2
1602651861,0,1
1602653779,0,1
1602655732,0,1
1602657631,1,1
