DateTime,AddedIPs,RemovedIPs
1602224175,3,7
1602226097,12,2
1602228039,4,3
1602229945,13,7
1602231863,8,3
1602233820,7,2
1602235698,3,7
1602237669,10,48
1602239574,12,5
1602241461,9,8
1602243380,5,6
1602245335,10,6
1602247220,7,7
1602249143,9,3
1602251095,6,4
1602252981,4,4
1602254897,8,6
1602256856,9,3
1602258746,12,4
1602260663,13,2
1602262612,8,3
1602264500,5,4
1602266438,6,4
1602268370,5,7
1602270277,11,9
1602272181,5,7
1602274133,4,9
1602276021,5,6
1602277941,3,7
1602279890,2,5
1602281776,2,6
1602283700,4,2
1602285647,4,7
1602287538,0,6
1602289463,3,4
1602291413,1,6
1602293306,2,8
1602295316,3,4
1602297167,2,2
1602299070,2,6
1602300981,3,5
1602302933,1,9
1602304823,5,1
1602306747,4,6
1602308689,1,9
1602310580,5,3
1602312497,0,9
1602314451,5,4
1602316339,5,10
1602318265,0,7
1602320218,2,8
1602322099,2,1
1602324136,4,8
1602325972,2,10
1602327859,7,7
1602329788,6,7
1602331729,3,10
1602333623,2,5
1602335542,0,7
1602337490,2,5
1602339378,4,4
1602341305,2,6
1602343250,4,7
1602345144,4,9
1602347058,1,11
1602349007,6,7
1602350897,4,6
1602352856,7,5
1602354750,1,4
1602356665,1,11
1602358615,4,5
1602360501,6,4
1602362423,2,5
1602364371,3,4
1602366257,5,1
1602368421,3,3
1602370347,2,4
1602372292,6,3
1602374183,5,0
1602376349,1,4
1602378262,2,0
1602380209,3,2
1602382101,2,2
1602384025,2,1
1602385972,3,1
1602387871,42,4
1602389779,8,2
1602391729,1,5
1602393616,1,3
1602395536,5,2
1602397484,1,4
1602399381,3,1
1602401298,4,12
1602403291,4,3
1602405140,0,2
1602407069,4,1
1602409002,3,2
1602410906,3,3
1602412822,2,3
1602414771,5,6
1602416665,4,5
1602418583,7,1
1602420524,8,1
1602422420,4,1
1602424344,6,2
1602426292,1,6
1602428184,4,2
1602430097,9,3
1602432165,10,3
1602434200,3,2
1602436097,8,4
1602438017,3,2
1602439966,3,4
1602441855,5,0
1602443779,4,2
1602445717,9,3
1602447612,4,4
1602449531,2,3
1602451485,2,3
1602453373,4,3
1602455291,1,3
1602457374,3,5
1602459398,3,5
1602461293,2,4
1602463211,1,1
1602465163,4,2
1602467056,6,4
1602468975,6,1
1602470923,4,2
1602472812,1,5
1602474735,4,43
1602476681,3,9
1602478575,5,3
1602480493,4,5
1602482444,5,4
1602484339,3,4
1602486255,7,8
1602488205,6,3
1602490097,9,2
1602492012,3,1
1602493965,1,7
1602495860,6,3
1602497772,5,3
1602499721,7,2
1602501616,4,5
1602503558,4,7
1602505452,6,6
1602507736,0,9
1602509559,5,4
1602511463,12,4
1602513381,6,2
1602515331,8,5
1602517222,1,14
1602519178,6,9
1602521100,4,5
1602522991,3,7
1602524925,5,3
1602526881,2,3
1602528764,6,5
1602530687,4,10
1602532617,6,3
1602534521,3,2
1602536540,2,2
1602538429,8,3
1602540284,11,2
1602542193,4,3
1602544130,5,3
1602546090,7,4
1602547950,6,3
1602549905,3,1
1602551782,10,4
1602553710,4,6
1602555657,7,4
1602557556,5,4
1602559496,5,1
1602561397,4,4
1602563331,6,2
1602565345,7,7
1602567389,4,5
1602569311,8,5
1602571252,2,3
1602573159,13,11
1602575068,6,7
1602577033,4,6
1602578955,6,4
1602580848,9,3
1602582784,4,5
1602584681,5,8
1602586641,6,5
1602588522,3,6
1602590456,7,3
1602592334,2,6
1602594286,6,0
1602596189,8,3
1602598185,5,13
1602600046,9,4
1602601941,2,5
1602603860,6,2
1602605800,5,9
1602607691,6,1
1602609610,6,2
1602611583,7,8
1602613477,2,3
1602615397,2,5
1602617354,15,3
1602619310,7,5
1602621166,3,3
1602623094,4,1
1602624987,5,6
1602626912,3,12
1602628868,13,3
1602630774,7,4
1602632725,4,6
1602634591,7,4
1602636503,4,5
1602638465,5,6
1602640350,2,6
1602642268,10,8
1602644260,9,4
1602646110,4,6
1602648095,5,4
1602649995,8,8
1602651862,4,4
1602653779,15,4
1602655734,2,8
1602657632,10,2
1602659550,9,12
1602661502,6,7
1602663400,2,4
1602665559,10,5
1602667503,9,8
1602669406,3,5
1602671309,5,6
1602673378,5,5
1602675401,8,4
1602677291,2,6
1602679212,6,23
1602681160,5,6
1602683052,5,5
1602684971,6,4
1602687164,3,7
1602689071,11,1
1602690982,4,6
1602692921,5,6
1602694929,10,7
1602696765,5,4
1602698664,8,6
1602700575,5,4
1602702526,6,2
1602704424,7,14
1602706343,6,3
1602708281,8,5
1602710177,7,3
1602712092,11,4
1602714044,4,7
1602715935,8,8
1602717865,8,6
1602719803,5,4
1602722065,9,9
1602724200,9,4
1602726010,7,2
1602728207,6,10
1602730101,7,10
1602732115,12,4
1602733959,4,7
1602735854,10,8
1602737810,1,5
1602739692,9,9
1602741544,3,3
1602743561,9,8
1602745465,6,9
1602747373,3,6
1602749324,3,4
1602751215,9,7
1602753135,4,10
1602755095,2,4
1602757218,3,4
1602759135,7,8
1602761089,8,8
1602762976,3,2
1602764894,9,3
1602766939,8,7
1602768747,5,2
1602770659,5,7
1602772612,9,4
1602774493,3,5
1602776424,8,9
1602778370,2,7
1602780264,3,13
1602782174,2,9
1602784132,6,6
1602786019,6,6
1602787967,5,6
1602789854,3,6
1602791775,4,4
1602793726,7,8
1602795734,2,11
1602797772,4,8
1602799688,3,8
1602801642,3,6
1602803536,2,5
1602805452,7,6
1602807373,5,10
1602809290,2,7
1602811244,2,9
1602813135,3,8
1602815055,3,7
1602817005,7,7
1602818893,1,9
1602820880,4,8
1602822764,3,7
1602824597,1,1
1602826570,2,11
1602828627,8,4
1602830683,7,8
1602832571,11,5
1602834491,11,2
1602836443,2,7
1602838331,4,5
1602840254,7,6
1602842200,6,1
1602844091,5,3
1602846130,6,9
1602847997,5,7
1602849858,5,5
1602851772,6,8
1602853723,3,7
1602855614,8,7
1602857540,4,4
1602859484,4,6
1602861380,5,1
1602863293,9,11
1602865245,6,2
1602867138,5,2
1602869059,4,5
1602871001,6,2
1602872893,5,7
1602874865,6,6
1602876765,4,2
1602878655,4,4
1602880573,5,9
1602882521,6,1
1602884418,10,5
1602886337,11,2
1602888279,6,4
1602890177,7,3
1602892094,14,6
1602894046,16,4
1602895933,8,3
1602897853,8,2
1602899802,4,4
1602901696,6,4
1602903724,15,4
1602905566,10,3
1602907454,13,4
1602909374,9,2
1602911334,14,1
1602913217,9,3
1602915154,13,7
1602917082,17,6
1602918974,18,11
1602920892,30,11
1602922842,10,2
1602924736,5,4
1602926653,11,6
1602928600,9,5
1602930491,7,5
1602932529,17,6
1602934361,15,4
1602936253,4,5
1602938171,7,5
1602940127,22,5
1602942046,15,6
1602943935,17,4
1602945855,12,4
1602947800,15,7
1602949693,29,9
1602951614,14,6
1602953565,3,6
1602955453,8,4
1602957668,5,5
1602959536,16,5
1602961486,16,6
1602963375,7,4
1602965297,5,2
1602967246,15,6
1602969134,0,5
1602971052,5,12
1602973002,3,11
1602974892,4,5
1602976810,7,10
1602978764,2,11
1602980655,3,19
1602982579,5,7
1602984522,5,9
1602986516,4,4
1602988338,3,8
1602990286,9,14
1602992175,1,10
1602994095,5,13
1602996043,2,7
1602997939,3,16
1602999854,3,8
1603001802,2,16
1603003695,3,17
1603005855,4,20
1603007791,2,28
1603009721,2,9
1603011708,5,4
1603013537,3,10
1603015494,4,7
1603017372,1,11
1603019296,3,15
1603021241,8,14
1603023134,5,9
1603025056,6,11
1603027002,2,15
1603028889,7,18
1603030817,3,16
1603032738,1,15
1603034657,8,15
1603036602,2,27
1603038490,3,12
1603040514,7,5
1603042362,6,6
1603044252,4,5
1603046169,4,19
1603048124,4,13
1603050013,9,7
1603051931,4,3
1603053883,3,14
1603055775,4,0
1603057696,5,5
1603059641,8,4
1603061529,5,6
1603063454,5,4
1603065408,5,3
1603067289,9,2
1603069287,3,6
1603071132,5,5
1603073060,6,1
1603074999,4,5
1603076902,4,5
1603078813,5,4
1603080731,2,5
1603082681,4,1
1603084571,1,6
1603086736,3,2
1603088678,2,2
1603090611,6,2
1603092493,6,4
1603094555,5,3
1603096366,5,2
1603098285,3,4
1603100182,7,4
1603102140,5,4
1603104046,7,3
1603106002,9,2
1603107899,6,8
1603110059,7,5
1603111948,8,4
1603113884,9,5
1603115837,12,4
1603117741,8,2
1603119757,5,4
1603121588,8,7
1603123477,4,3
1603125416,9,4
1603127338,4,9
