DateTime,Entries,UniqueIPs
1602225163,1830,1830
1602227060,1818,1818
1602228973,1833,1833
1602230925,1837,1837
1602232815,1839,1839
1602234738,1826,1826
1602236683,1814,1814
1602238573,1820,1820
1602240495,1808,1808
1602242448,1804,1804
1602244333,1807,1807
1602246253,1801,1801
1602248203,1814,1814
1602250093,1809,1809
1602252038,1797,1797
1602253966,1797,1797
1602255860,1790,1790
1602257775,1782,1782
1602259727,1775,1775
1602261620,1772,1772
1602263535,1765,1765
1602265482,1779,1779
1602267376,1782,1782
1602269296,1793,1793
1602271251,1778,1778
1602273135,1762,1762
1602275056,1801,1801
1602277003,1805,1805
1602278893,1825,1825
1602280850,1828,1828
1602282763,1842,1842
1602284658,1833,1833
1602286578,1822,1822
1602288527,1813,1813
1602290414,1783,1783
1602292335,1774,1774
1602294283,1762,1762
1602296177,1750,1750
1602298097,1757,1757
1602300043,1749,1749
1602301934,1737,1737
1602303857,1745,1745
1602305803,1767,1767
1602307692,1834,1834
1602309642,1848,1848
1602311570,1833,1833
1602313457,1836,1836
1602315378,1845,1845
1602317326,1862,1862
1602319217,1883,1883
1602321138,1880,1880
1602323083,1882,1882
1602324978,1875,1875
1602326892,1862,1862
1602328841,1877,1877
1602330731,1873,1873
1602332656,1864,1864
1602334602,1841,1841
1602336494,1827,1827
1602338446,1826,1826
1602340371,1841,1841
1602342266,1854,1854
1602344176,1859,1859
1602346124,1875,1875
1602348019,1892,1892
1602349970,1912,1912
1602351857,1901,1901
1602353772,1895,1895
1602355721,1883,1883
1602357614,1888,1888
1602359534,1913,1913
1602361486,1876,1876
1602363384,1850,1850
1602365540,1839,1839
1602367459,1826,1826
1602369409,1828,1828
1602371297,1829,1829
1602373217,1817,1817
1602375163,1827,1827
1602377055,1825,1825
1602378972,1818,1818
1602380921,1818,1818
1602382817,1797,1797
1602384736,1794,1794
1602386684,1795,1795
1602388573,1799,1799
1602390491,1797,1797
1602392592,1753,1753
1602394605,1704,1704
1602396497,1697,1697
1602398420,1702,1702
1602400390,1694,1694
1602402258,1711,1711
1602404174,1695,1695
1602406126,1680,1680
1602408016,1701,1701
1602409937,1705,1705
1602411882,1717,1717
1602413779,1740,1740
1602415694,1708,1708
1602417661,1682,1682
1602419541,1672,1672
1602421370,1671,1671
1602423396,1653,1653
1602425292,1660,1660
1602427212,1693,1693
1602429161,1710,1710
1602431050,1715,1715
1602432970,1686,1686
1602434918,1675,1675
1602436809,1650,1650
1602438731,1644,1644
1602440687,1656,1656
1602442573,1668,1668
1602444495,1657,1657
1602446505,1666,1666
1602448332,1742,1742
1602450253,1775,1775
1602452197,1795,1795
1602454101,1791,1791
1602456013,1792,1792
1602457962,1808,1808
1602459857,1833,1833
1602461771,1847,1847
1602463719,1858,1858
1602465613,1856,1856
1602467531,1856,1856
1602469482,1908,1908
1602471379,1959,1959
1602473292,1955,1955
1602475290,1968,1968
1602477131,1938,1938
1602479056,1944,1944
1602481001,1932,1932
1602482893,1937,1937
1602484811,1934,1934
1602486762,1929,1929
1602488660,1908,1908
1602490571,1934,1934
1602492518,1948,1948
1602494410,1933,1933
1602496331,1925,1925
1602498281,1929,1929
1602500171,1914,1914
1602502116,1940,1940
1602504040,1976,1976
1602505932,2010,2010
1602507764,2031,2031
1602509769,2049,2049
1602511722,2043,2043
1602513612,2013,2013
1602515777,2000,2000
1602517691,2038,2038
1602519641,2053,2053
1602521533,2062,2062
1602523457,2084,2084
1602525400,2111,2111
1602527290,2116,2116
1602529272,2117,2117
1602531162,2114,2114
1602533055,2103,2103
1602534975,2074,2074
1602536925,2069,2069
1602538813,2061,2061
1602540733,2079,2079
1602542682,2086,2086
1602544571,2101,2101
1602546495,2106,2106
1602548441,2121,2121
1602550333,2133,2133
1602552254,2145,2145
1602554202,2172,2172
1602556100,2158,2158
1602558097,2111,2111
1602559935,2117,2117
1602561857,2135,2135
1602563801,2163,2163
1602565700,2167,2167
1602567642,2183,2183
1602569536,2192,2192
1602571453,2202,2202
1602573404,2203,2203
1602575307,2205,2205
1602577458,2180,2180
1602579379,2181,2181
1602581322,2196,2196
1602583276,2220,2220
1602585137,2219,2219
1602587085,2240,2240
1602588974,2244,2244
1602590895,2254,2254
1602592847,2256,2256
1602594735,2272,2272
1602596658,2289,2289
1602598603,2284,2284
1602600494,2294,2294
1602602411,2271,2271
1602604366,2249,2249
1602606254,2265,2265
1602608175,2262,2262
1602610123,2251,2251
1602613008,2225,2225
1602614898,2212,2212
1602616816,2219,2219
1602618769,2223,2223
1602620662,2183,2183
1602622580,2193,2193
1602624531,2200,2200
1602626457,2189,2189
1602628342,2172,2172
1602630301,2157,2157
1602632179,2149,2149
1602634139,2145,2145
1602636019,2128,2128
1602637944,2118,2118
1602639891,2080,2080
1602641783,2064,2064
1602643702,2078,2078
1602645649,2078,2078
1602647541,2081,2081
1602649467,2031,2031
1602651411,2031,2031
1602653299,2045,2045
1602655250,2056,2056
1602657172,2064,2064
1602659063,2069,2069
1602660986,2069,2069
1602662934,2060,2060
1602664821,2035,2035
1602666771,2027,2027
1602668671,2021,2021
1602670581,2016,2016
1602672530,1990,1990
1602674418,1979,1979
1602676343,1955,1955
1602678290,1940,1940
1602680181,1941,1941
1602682099,1927,1927
1602684052,1917,1917
1602685942,1911,1911
1602687890,1876,1876
1602689785,1867,1867
1602691710,1853,1853
1602693651,1851,1851
1602695787,1860,1860
1602697701,1868,1868
1602699657,1874,1874
1602701542,1869,1869
1602703463,1873,1873
1602705407,1867,1867
1602707300,1864,1864
1602709328,1862,1862
1602711172,1872,1872
1602713072,1881,1881
1602714984,1905,1905
1602716932,1904,1904
1602718827,1881,1881
1602720845,1893,1893
1602723031,1924,1924
1602725194,1959,1959
1602727366,1961,1961
1602729240,1969,1969
1602731095,1983,1983
1602732985,1972,1972
1602734909,1981,1981
1602736825,1844,1844
1602738748,1838,1838
1602740691,1820,1820
1602742579,1817,1817
1602744511,1850,1850
1602746446,1851,1851
1602748358,1844,1844
1602750260,1850,1850
1602752224,1863,1863
1602754105,1858,1858
1602756064,1855,1855
1602757945,1845,1845
1602759869,1844,1844
1602761818,1857,1857
1602763707,1870,1870
1602765622,1845,1845
1602767574,1829,1829
1602769459,1845,1845
1602771623,1839,1839
1602773537,1867,1867
1602775496,1881,1881
1602777388,1888,1888
1602779298,1882,1882
1602781371,1892,1892
1602783407,1894,1894
1602785295,1876,1876
1602787263,1888,1888
1602789148,1887,1887
1602791065,1894,1894
1602793015,1902,1902
1602794900,1909,1909
1602796817,1909,1909
1602798778,1917,1917
1602800660,1909,1909
1602802584,1907,1907
1602804532,1969,1969
1602806549,2000,2000
1602808378,1989,1989
1602810275,1967,1967
1602812183,1971,1971
1602814135,1987,1987
1602816020,2005,2005
1602817940,2002,2002
1602819891,1997,1997
1602821778,1994,1994
1602823697,1993,1993
1602825650,1837,1837
1602827540,1822,1822
1602829474,1806,1806
1602831406,1783,1783
1602833297,1801,1801
1602835379,1804,1804
1602837615,1795,1795
1602839540,1807,1807
1602841482,1822,1822
1602843377,1836,1836
1602845294,1843,1843
1602847241,1842,1842
1602849132,1839,1839
1602851300,1833,1833
1602853354,1829,1829
1602855215,1820,1820
1602857081,1809,1809
1602858974,1796,1796
1602860978,1801,1801
1602862859,1798,1798
1602864742,1791,1791
1602866686,1805,1805
1602868579,1792,1792
1602870494,1783,1783
1602872447,1778,1778
1602874343,1775,1775
1602876260,1778,1778
1602878205,1780,1780
1602880092,1766,1766
1602882087,1767,1767
1602883965,1765,1765
1602885855,1779,1779
1602887771,1780,1780
1602889728,1743,1743
1602891616,1708,1708
1602893536,1693,1693
1602895484,1707,1707
1602897378,1718,1718
1602899296,1744,1744
1602901242,1750,1750
1602903143,1759,1759
1602905075,1756,1756
1602907031,1776,1776
1602908917,1777,1777
1602910976,1781,1781
1602912776,1791,1791
1602914661,1794,1794
1602916606,1787,1787
1602918524,1765,1765
1602920416,1753,1753
1602922333,1764,1764
1602924285,1766,1766
1602926174,1752,1752
1602928094,1728,1728
1602930045,1699,1699
1602931937,1697,1697
1602933855,1688,1688
1602935803,1683,1683
1602937696,1678,1678
1602939770,1707,1707
1602942048,1711,1711
1602943937,1709,1709
1602945857,1718,1718
1602947802,1708,1708
1602949695,1698,1698
1602951616,1696,1696
1602953567,1688,1688
1602955455,1686,1686
1602957680,1705,1705
1602959538,1719,1719
1602961488,1723,1723
1602963377,1751,1751
1602965299,1741,1741
1602967249,1748,1748
1602969136,1747,1747
1602971054,1742,1742
1602973004,1742,1742
1602974895,1757,1757
1602976813,1764,1764
1602978766,1772,1772
1602980657,1779,1779
1602982582,1768,1768
1602984525,1772,1772
1602986553,1735,1735
1602988574,1709,1709
1602990493,1703,1703
1602992442,1675,1675
1602994335,1663,1663
1602996253,1664,1664
1602998197,1649,1649
1603000088,1642,1642
1603002009,1639,1639
1603003956,1648,1648
1603005857,1652,1652
1603007793,1667,1667
1603009723,1650,1650
1603011745,1665,1665
1603013775,1642,1642
1603015716,1646,1646
1603017707,1667,1667
1603019535,1662,1662
1603021458,1660,1660
1603023427,1666,1666
1603025309,1649,1649
1603027266,1637,1637
1603029175,1637,1637
1603031070,1622,1622
1603033040,1618,1618
1603034904,1620,1620
1603036879,1642,1642
