DateTime,AddedIPs,RemovedIPs
1602227058,111,140
1602228973,113,105
1602230924,128,135
1602232814,84,104
1602234738,88,208
1602236682,71,86
1602238572,95,133
1602240494,88,72
1602242447,134,121
1602244332,71,71
1602246253,72,124
1602248203,71,77
1602250092,134,94
1602252037,65,127
1602253966,77,129
1602255859,58,130
1602257774,50,81
1602259726,61,2082
1602261619,119,86
1602263535,77,89
1602265482,87,82
1602267375,70,113
1602269296,68,80
1602271251,107,97
1602273135,106,77
1602275055,83,156
1602277002,91,76
1602278892,136,101
1602280849,77,122
1602282762,139,101
1602284656,111,126
1602286578,83,90
1602288526,131,180
1602290414,88,90
1602292335,116,137
1602294282,100,93
1602296177,91,133
1602298097,101,90
1602300043,75,146
1602301934,89,79
1602303857,294,150
1602305802,435,90
1602307691,529,153
1602309641,356,103
1602311570,105,121
1602313457,301,137
1602315378,365,138
1602317326,790,124
1602319216,711,74
1602321138,751,76
1602323083,696,54
1602324978,757,84
1602326891,633,50
1602328840,610,136
1602330731,293,71
1602332656,107,70
1602334601,48,58
1602336494,101,121
1602338446,87,50
1602340371,86,54
1602342264,100,63
1602344176,67,44
1602346123,45,62
1602348019,53,74
1602349969,93,65
1602351856,44,63
1602353772,305,57
1602355720,339,61
1602357613,411,67
1602359533,426,63
1602361485,389,59
1602363384,340,70
1602365539,334,116
1602367458,213,97
1602369408,415,60
1602371296,306,98
1602373216,52,52
1602375163,89,126
1602377054,73,69
1602378972,77,92
1602380920,52,56
1602382817,95,88
1602384736,114,83
1602386683,49,63
1602388573,54,50
1602390490,84,121
1602392592,43,128
1602394605,57,140
1602396496,335,110
1602398420,61,65
1602400388,101,386
1602402257,54,457
1602404174,53,671
1602406125,41,643
1602408015,93,579
1602409936,56,578
1602411881,82,591
1602413778,61,390
1602415693,93,522
1602417660,59,173
1602419540,60,113
1602421354,29,65
1602423396,391,105
1602425292,237,101
1602427212,186,54
1602429161,146,117
1602431049,102,67
1602432969,111,301
1602434917,185,311
1602436808,177,426
1602438730,106,387
1602440686,179,405
1602442572,91,454
1602444494,210,474
1602446497,189,537
1602448331,161,460
1602450253,155,458
1602452197,101,339
1602454100,139,468
1602456013,142,517
1602457962,113,271
1602459856,102,76
1602461771,143,123
1602463718,142,98
1602465613,98,106
1602467531,114,64
1602469482,168,166
1602471378,94,101
1602473292,115,85
1602475284,92,89
1602477131,173,101
1602479056,152,69
1602481001,103,84
1602482892,68,126
1602484810,65,84
1602486762,113,99
1602488658,74,402
1602490571,123,75
1602492518,83,67
1602494409,68,116
1602496331,69,80
1602498281,122,102
1602500171,72,87
1602502116,338,131
