DateTime,AddedIPs,RemovedIPs
1602225164,90,63
1602227061,85,84
1602228974,69,63
1602230925,69,63
1602232815,73,161
1602234739,106,81
1602236683,68,75
1602238574,82,73
1602240495,105,106
1602242448,80,73
1602244333,55,71
1602246255,91,56
1602248204,61,79
1602250093,78,76
1602252039,61,76
1602253967,79,74
1602255861,66,79
1602257775,61,77
1602259728,57,79
1602261620,105,68
1602263536,73,85
1602265482,78,91
1602267377,88,90
1602269297,60,87
1602271253,114,92
1602273135,143,75
1602275057,97,88
1602277003,91,95
1602278894,85,105
1602280850,59,114
1602282763,139,106
1602284670,82,104
1602286579,81,89
1602288527,87,79
1602290415,92,78
1602292335,78,99
1602294283,105,113
1602296177,66,115
1602298097,107,84
1602300044,69,90
1602301935,123,76
1602303857,144,107
1602305804,141,90
1602307692,78,85
1602309642,63,108
1602311571,116,118
1602313458,54,88
1602315379,113,78
1602317327,74,77
1602319217,66,63
1602321139,61,80
1602323083,75,77
1602324979,57,89
1602326892,93,74
1602328842,52,88
1602330732,44,73
1602332657,88,80
1602334602,70,71
1602336495,99,72
1602338447,83,64
1602340371,80,78
1602342266,63,72
1602344177,83,67
1602346124,98,75
1602348020,75,69
1602349971,67,72
1602351858,61,70
1602353773,62,90
1602355721,117,77
1602357614,76,95
1602359534,99,94
1602361487,76,103
1602363385,71,76
1602365541,114,95
1602367460,74,111
1602369409,100,105
1602371297,72,82
1602373217,64,83
1602375164,85,112
1602377055,165,91
1602378973,50,81
1602380922,71,83
1602382818,63,60
1602384737,64,106
1602386684,89,85
1602388574,132,73
1602390491,77,122
1602392593,69,139
1602394606,80,104
1602396497,60,72
1602398421,153,100
1602400393,104,77
1602402258,61,79
1602404175,64,89
1602406126,87,70
1602408016,72,67
1602409937,128,66
1602411882,58,86
1602413779,55,54
1602415694,63,101
1602417663,34,56
1602419541,31,93
1602421377,27,56
1602423398,308,87
1602425293,149,98
1602427212,121,79
1602429162,71,93
1602431051,79,77
1602432970,75,79
1602434919,157,77
1602436810,123,74
1602438731,70,63
1602440687,111,77
1602442574,72,84
1602444496,192,82
1602446512,157,99
1602448333,139,76
1602450254,92,90
1602452198,87,99
1602454101,95,86
1602456014,176,86
1602457963,121,70
1602459857,82,76
1602461771,94,92
1602463719,113,57
1602465614,126,76
1602467532,119,64
1602469483,145,91
1602471381,94,108
1602473293,88,96
1602475297,72,93
1602477132,122,76
1602479058,82,74
1602481003,69,77
1602482894,89,113
1602484811,77,115
1602486763,95,104
1602488660,128,59
1602490571,98,80
1602492518,96,85
1602494410,86,91
1602496331,99,94
1602498282,128,78
1602500173,103,100
1602502117,110,91
1602504042,90,40
1602505932,100,39
1602507772,78,38
1602509770,122,135
1602511723,89,111
1602513613,90,80
1602515777,123,52
1602517692,82,66
1602519642,95,132
1602521533,142,97
1602523458,95,79
1602525400,80,61
1602527291,87,70
1602529276,70,118
1602531162,145,122
1602533055,105,133
1602534975,74,124
1602536926,86,78
1602538814,82,76
1602540733,80,149
1602542683,191,129
1602544571,99,95
1602546496,78,78
1602548441,94,96
1602550334,73,112
1602552254,116,114
1602554204,87,90
1602556100,74,129
1602558099,80,90
1602559935,110,87
1602561858,125,81
1602563801,104,105
1602565701,100,102
1602567642,75,67
1602569536,65,70
1602571454,91,77
1602573405,90,102
1602575308,107,95
1602577458,85,126
1602579381,58,99
1602581323,114,75
1602583278,82,97
1602585137,107,110
1602587086,82,87
1602588976,95,83
1602590896,86,85
1602592847,90,99
1602594735,79,91
1602596658,97,124
1602598604,99,101
1602600495,79,97
1602602412,97,99
1602604366,92,104
1602606255,82,98
1602608176,93,77
1602610123,91,88
1602613009,126,137
1602614899,96,65
1602616817,107,111
1602618769,97,103
1602620662,86,103
1602622581,72,63
1602624532,110,83
1602626459,72,114
1602628342,107,104
1602630301,89,99
1602632180,80,95
1602634139,104,94
1602636020,62,83
1602637945,92,90
1602639892,106,77
1602641784,101,86
1602643702,89,83
1602645649,96,99
1602647541,81,112
1602649467,93,131
1602651412,77,98
1602653299,86,73
1602655251,68,75
1602657172,90,101
1602659064,80,102
1602660987,68,114
1602662935,80,78
1602664822,88,76
1602666772,81,95
1602668672,93,113
1602670582,92,84
1602672531,348,85
1602674419,235,81
1602676343,88,77
1602678291,85,112
1602680182,69,77
1602682100,86,94
1602684052,66,72
1602685943,50,81
1602687891,63,79
1602689786,97,97
1602691710,88,81
1602693651,81,67
1602695788,100,89
1602697702,75,168
1602699658,82,86
1602701542,93,83
1602703463,89,91
1602705408,87,79
1602707300,100,88
1602709331,87,73
1602711173,87,76
1602713073,79,69
1602714985,80,74
1602716932,101,69
1602718827,79,89
1602720846,89,73
1602723032,92,89
1602725194,69,91
1602727367,77,88
1602729241,62,81
1602731096,76,74
1602732985,66,79
1602734910,92,71
1602736825,669,80
1602738749,79,66
1602740691,90,74
1602742580,85,81
1602744512,79,69
1602746447,88,71
1602748359,63,55
1602750260,63,80
1602752225,74,61
1602754106,69,63
1602756065,59,73
1602757946,77,351
1602759870,104,403
1602761819,80,124
1602763707,63,90
1602765622,64,85
1602767575,87,84
1602769460,65,71
1602771624,82,76
1602773538,74,65
1602775496,73,62
1602777388,89,76
1602779298,78,56
1602781372,107,72
1602783408,69,83
1602785296,72,79
1602787264,79,78
1602789148,58,90
1602791065,89,90
1602793016,98,84
1602794900,137,74
1602796818,75,94
1602798779,81,89
1602800660,110,64
1602802585,119,92
1602804532,79,79
1602806552,70,79
1602808378,94,75
1602810276,100,91
1602812183,97,59
1602814136,91,74
1602816021,82,81
1602817940,57,77
1602819892,94,362
1602821779,79,83
1602823697,89,683
1602825651,81,67
1602827541,1304,85
1602829475,203,103
1602831407,84,87
1602833297,86,89
1602835381,74,87
1602837616,100,87
1602839541,68,65
1602841483,67,55
1602843377,64,74
1602845295,79,81
1602847242,80,103
1602849133,62,68
1602851301,75,84
1602853364,62,64
1602855216,77,85
1602857082,61,70
1602858975,53,80
1602860979,102,64
1602862859,64,67
1602864742,69,98
1602866686,76,122
1602868581,64,71
1602870495,60,63
1602872448,84,71
1602874344,89,57
1602876260,93,65
1602878205,76,70
1602880092,70,111
1602882094,82,78
1602883966,73,68
1602885856,76,62
1602887772,61,141
1602889729,70,103
1602891617,62,80
1602893536,83,96
1602895484,81,72
1602897379,77,92
1602899297,87,94
1602901243,75,91
1602903144,71,73
1602905076,86,98
1602907031,69,102
1602908917,80,76
1602910985,82,101
1602912975,55,459
1602914922,59,1129
1602916822,93,66
1602918733,104,117
1602920681,82,74
1602922571,73,71
1602924489,91,70
1602926442,95,79
1602928333,67,91
1602930254,81,86
1602932199,81,97
1602934090,81,81
1602936039,85,69
1602937962,113,58
1602939785,73,62
1602942048,101,104
1602943938,88,63
1602945857,63,59
1602947803,75,106
1602949695,80,68
1602951617,79,81
1602953568,61,67
1602955456,88,71
1602957682,109,62
1602959538,89,81
1602961489,92,96
1602963378,77,75
1602965300,106,95
1602967250,70,91
1602969137,66,88
1602971054,93,75
1602973006,90,84
1602974896,97,76
1602976813,89,86
1602978767,87,138
1602980657,81,84
1602982583,108,75
1602984526,65,96
1602986558,62,104
1602988575,78,101
1602990494,76,96
1602992442,84,86
1602994335,93,73
1602996253,77,78
1602998198,89,80
1603000089,70,63
1603002010,54,69
1603003958,103,87
1603005858,67,94
1603007794,78,89
1603009724,73,83
1603011748,81,75
1603013776,117,94
1603015716,71,81
1603017708,77,91
1603019535,59,93
1603021459,64,74
1603023427,69,98
1603025309,76,104
1603027267,61,100
1603029175,48,69
1603031072,86,100
1603033041,86,78
1603034904,93,87
