DateTime,AddedIPs,RemovedIPs
1602227321,10,6
1602229219,5,0
1602231132,6,2
1602233082,5,10
1602234972,8,4
1602237137,10,6
1602239064,12,5
1602241005,7,9
1602242890,13,7
1602244872,16,1
1602246760,8,8
1602248659,12,12
1602250577,4,2
1602252528,6,7
1602254412,7,5
1602256343,7,3
1602258364,7,10
1602260208,7,9
1602262127,8,7
1602264054,2,13
1602265955,17,18
1602267878,5,10
1602269834,8,8
1602271693,19,6
1602273650,9,3
1602275564,10,7
1602277520,7,20
1602279414,7,6
1602281350,4,3
1602283243,9,12
1602285155,10,8
1602287114,8,7
1602288988,10,10
1602290909,12,15
1602292875,18,7
1602294752,9,4
1602296676,2,5
1602298634,9,9
1602300517,3,0
1602302468,6,5
1602304366,31,13
1602306257,8,7
1602308173,8,7
1602310129,7,12
1602312012,10,10
1602313937,6,7
1602315882,11,5
1602317777,9,6
1602319691,7,7
1602321646,14,9
1602323532,6,9
1602325456,8,13
1602327403,7,7
1602329295,11,14
1602331251,6,16
1602333165,20,8
1602335053,5,12
1602336974,10,4
1602338920,5,5
1602340849,4,8
1602342733,5,7
1602344684,5,7
1602346569,11,6
1602348494,20,9
1602350413,4,2
1602352335,6,18
1602354281,1,5
1602356176,6,8
1602358090,13,18
1602360065,12,9
1602361953,8,10
1602363886,15,6
1602365800,18,6
1602367696,5,4
1602369615,5,8
1602371567,4,11
1602373453,12,8
1602375425,3,10
1602377333,5,12
1602379230,6,18
1602381152,10,9
1602383113,0,3
1602385038,8,8
1602386915,21,3
1602388868,11,7
1602390751,10,31
1602392594,4,9
1602394606,9,7
1602396498,12,7
1602398421,11,10
1602400400,8,6
1602402259,5,11
1602404176,10,8
1602406127,10,7
1602408017,4,14
1602409938,9,6
1602411883,11,8
1602413780,4,7
1602415695,6,12
1602417666,3,5
1602419542,4,23
1602421391,0,5
1602423399,31,10
1602425294,10,5
1602427213,11,4
1602429162,6,5
1602431052,1,5
1602432971,6,13
1602434921,8,17
1602436813,13,4
1602438732,9,6
1602440688,18,1
1602442576,5,6
1602444499,9,13
1602446523,5,13
1602448335,11,7
1602450255,11,14
1602452200,11,19
1602454103,10,5
1602456015,18,5
