DateTime,AddedIPs,RemovedIPs
1601397280,0,2
1601399679,13,1
1601400876,2,0
1601406250,1,0
1601411682,2,0
1601413056,1,0
1601417436,0,1
1601422484,4,1
1601426088,0,1
1601433284,0,1
1601439950,1,0
1601450132,1,0
1601451282,0,1
1601458479,1,0
1601462928,1,0
1601464166,2,0
1601472877,1,0
1601475100,1,0
1601478892,0,2
1601480075,0,1
1601481462,1,0
1601483135,2,0
1601486739,2,0
1601489356,1,0
1601493227,1,0
1601494622,1,0
1601497541,4,0
1601501676,2,0
1601505291,3,0
1601508111,1,0
1601515367,1,0
1601518271,1,0
1601525428,1,0
1601534083,1,0
1601536605,0,1
1601540737,0,1
1601541292,0,2
1601549433,1,0
1601556863,1,0
1601559319,0,1
1601560554,1,0
1601565281,0,1
1601567986,0,1
1601569124,0,1
1601573135,0,51
1601576254,0,1
1601577276,1,0
1601580880,1,2
1601583351,0,1
1601588083,1,0
1601591679,1,3
1601593402,4,1
1601605542,1,0
1601609684,1,1
1601613295,1,0
1601620476,1,1
1601627676,0,1
1601629696,2,0
1601632253,1,2
1601634356,0,2
1601642091,2,0
1601644534,0,1
1601651435,2,1
1601653247,0,2
1601656472,0,3
1601660082,0,1
1601664859,0,1
1601668100,0,4
1601671835,0,2
1601673118,0,2
1601674471,0,1
1601676645,0,1
1601684496,0,1
1601685278,1,1
1601694878,0,1
1601701161,2,0
1601717675,1,0
1601720732,2,2
1601723851,1,0
1601724878,1,0
1601728666,0,1
1601731112,2,1
1601738358,1,1
1601746480,0,1
1601748243,1,0
1601750081,1,1
1601752851,1,0
1601757951,0,1
1601760099,0,1
1601761841,6,0
1601763816,0,4
1601774608,2,0
1601775281,0,1
1601778875,1,1
1601782479,1,1
1601784378,3,0
1601789034,1,0
1601799945,2,1
1601801451,1,1
1601811283,0,2
1601814888,1,0
1601818471,0,1
1601819623,1,0
1601821457,1,2
1601826642,0,2
1601829287,1,0
1601854488,0,1
1601860488,1,0
1601861684,1,0
1601863967,1,0
1601872498,0,1
1601878542,1,0
1601884314,1,0
1601886875,0,1
1601888388,1,1
1601889934,2,1
1601894091,3,2
1601899620,2,2
1601907060,0,1
1601908489,1,0
1601918737,0,1
1601920237,1,1
1601930095,1,0
1601933673,1,6
1601937272,1,0
1601940889,1,0
1601943061,1,1
1601944487,0,1
1601948081,0,1
1601953059,0,2
1601954745,1,2
1601969720,0,2
1601971495,0,1
1601976308,2,0
1601984079,0,1
1601987679,1,0
1601989048,1,1
1601991278,0,1
1601997935,0,1
1602000556,0,1
1602008733,1,0
1602014817,1,1
1602021401,1,0
1602030336,1,1
1602030887,0,1
1602034490,8,1
1602041696,1,0
1602046611,0,1
1602048885,0,1
1602051472,1,1
1602052474,2,0
1602057951,1,1
1602059697,0,2
1602061829,1,1
1602063284,1,0
1602064765,0,2
1602069904,3,0
1602070484,0,1
1602074027,3,0
1602075409,3,0
