DateTime,Entries,UniqueIPs
1602268496,2184,2184
1602272093,2018,2018
1602273325,2024,2024
1602275148,2049,2049
1602275686,2037,2037
1602279289,1998,1998
1602280498,1997,1997
1602282167,2078,2078
1602282901,2081,2081
1602284811,2091,2091
1602286505,2097,2097
1602287781,2097,2097
1602289548,2098,2098
1602290098,2088,2088
1602293697,2104,2104
1602295030,2112,2112
1602296751,2105,2105
1602297297,2099,2099
1602299043,2097,2097
1602300899,2084,2084
1602302281,2082,2082
1602303564,2030,2030
1602307546,2002,2002
1602308087,1997,1997
1602309571,1992,1992
1602311140,2084,2084
1602311696,2069,2069
1602312903,2077,2077
1602315291,2064,2064
1602316894,2086,2086
1602318340,2165,2165
1602319729,2161,2161
1602321349,2181,2181
1602322482,2173,2173
1602324183,2184,2184
1602325543,2251,2251
1602327048,2243,2243
1602329145,2358,2358
1602330640,2362,2362
1602332741,2312,2312
1602334238,2224,2224
1602336340,2340,2340
1602337535,2344,2344
1602338698,2439,2439
1602339801,2429,2429
1602340479,2425,2425
1602342242,2421,2421
1602344096,2441,2441
1602345408,2450,2450
1602347693,3175,3175
1602349385,3965,3965
1602351298,3969,3969
1602353154,3973,3973
1602354340,3979,3979
1602355846,3975,3975
1602357452,3955,3955
1602359456,3952,3952
1602362096,3961,3961
1602364260,3951,3951
1602365697,3944,3944
1602367618,3946,3946
1602369291,3945,3945
1602372897,3935,3935
1602374864,3934,3934
1602377445,3927,3927
1602380098,3934,3934
1602382118,3944,3944
1602384658,3936,3936
1602387312,3929,3929
1602388430,3934,3934
1602390899,3912,3912
1602394485,3918,3918
1602396269,3935,3935
1602397542,3945,3945
1602399042,3932,3932
1602400508,3910,3910
1602401686,3897,3897
1602403799,3945,3945
1602405292,3943,3943
1602408878,3947,3947
1602410113,3957,3957
1602411943,3970,3970
1602413451,3962,3962
1602415283,3965,3965
1602417052,3978,3978
1602418293,4194,4194
1602419684,5012,5012
1602422748,5282,5282
1602424234,5269,5269
1602425544,5259,5259
1602426891,5257,5257
1602430477,5247,5247
1602432463,5238,5238
1602434090,5185,5185
1602436058,5172,5172
1602437689,5164,5164
1602440003,5167,5167
1602441277,5158,5158
1602442608,5156,5156
1602444353,5155,5155
1602444881,5133,5133
1602447318,5130,5130
1602448483,5112,5112
1602452083,5044,5044
1602454594,5047,5047
1602455699,5041,5041
1602458739,5033,5033
1602460245,5029,5029
1602461859,5018,5018
1602462895,5015,5015
1602464166,5017,5017
1602465952,5011,5011
1602467461,5004,5004
1602468891,4988,4988
1602470093,4972,4972
1602473747,4948,4948
1602474870,4951,4951
1602476329,4946,4946
1602477904,4947,4947
1602480121,4939,4939
1602481767,4894,4894
1602483431,4898,4898
1602484487,4889,4889
1602486641,4885,4885
1602488100,4843,4843
1602489777,4835,4835
1602491135,4847,4847
1602492662,4838,4838
1602494216,4821,4821
1602495294,4782,4782
1602497758,4771,4771
1602498897,4712,4712
1602500763,4695,4695
1602502506,4640,4640
1602503712,4649,4649
1602505130,4646,4646
1602506086,4575,4575
1602507451,4571,4571
1602509048,4564,4564
1602509700,4524,4524
1602511616,4512,4512
1602513305,4483,4483
1602514434,4483,4483
1602516339,4484,4484
1602516887,3947,3947
1602518459,3233,3233
1602519673,3263,3263
1602520497,3225,3225
1602522896,3214,3214
1602524684,3204,3204
1602526158,3192,3192
1602527694,3197,3197
1602531292,3150,3150
1602533748,3158,3158
1602537608,3164,3164
1602539447,3164,3164
