DateTime,Entries,UniqueIPs
1602257140,1588,1588
1602257681,1576,1576
1602261278,1563,1563
1602264878,1542,1542
1602266007,1549,1549
1602267542,1546,1546
1602268486,1537,1537
1602272083,1545,1545
1602273307,1550,1550
1602275137,1561,1561
1602275675,1553,1553
1602279280,1552,1552
1602280490,1560,1560
1602282889,1560,1560
1602284802,1569,1569
1602286496,1575,1575
1602287768,1574,1574
1602289538,1574,1574
1602290087,1574,1574
1602293685,1567,1567
1602295018,1567,1567
1602296738,1581,1581
1602297289,1582,1582
1602299020,1590,1590
1602300887,1600,1600
1602302268,1605,1605
1602303548,1603,1603
1602304494,1597,1597
1602308076,1585,1585
1602309554,1584,1584
1602311133,1591,1591
1602311686,1587,1587
1602312845,1594,1594
1602315281,1596,1596
1602316852,1581,1581
1602318326,1588,1588
1602319719,1582,1582
1602321337,1576,1576
1602322474,1571,1571
1602324150,1573,1573
1602325534,1566,1566
1602327039,1561,1561
1602329135,1560,1560
1602330631,1571,1571
1602332733,1574,1574
1602334231,1565,1565
1602336331,1549,1549
1602337525,1546,1546
1602338682,1514,1514
1602339785,1530,1530
1602340470,1534,1534
1602342227,1531,1531
1602344086,1523,1523
1602345399,1535,1535
1602347682,1446,1446
1602349376,1315,1315
1602351289,1321,1321
1602353145,1330,1330
1602354331,1347,1347
1602355835,1357,1357
1602357441,1366,1366
1602359447,1374,1374
1602362087,1380,1380
1602364252,1391,1391
1602365686,1394,1394
1602367608,1394,1394
1602369277,1398,1398
1602372888,1422,1422
1602374855,1431,1431
1602377436,1433,1433
1602380086,1423,1423
1602382106,1434,1434
1602384646,1448,1448
1602387293,1461,1461
1602388421,1466,1466
1602390887,1481,1481
1602394473,1491,1491
1602396257,1477,1477
1602397533,1486,1486
1602399032,1489,1489
1602400493,1486,1486
1602401674,1486,1486
1602403791,1482,1482
1602405281,1489,1489
1602408869,1493,1493
1602410104,1492,1492
1602411935,1510,1510
1602413432,1497,1497
1602415267,1487,1487
1602417042,1494,1494
1602418286,1463,1463
1602419674,1242,1242
1602422738,1179,1179
1602424219,1183,1183
1602425529,1186,1186
1602426882,1192,1192
1602430467,1220,1220
1602432454,1230,1230
1602434081,1254,1254
1602436048,1254,1254
1602437681,1261,1261
1602439992,1256,1256
1602441268,1260,1260
1602442595,1271,1271
1602444342,1267,1267
1602444872,1254,1254
1602447283,1275,1275
1602448472,1291,1291
1602452075,1295,1295
1602454583,1315,1315
1602455682,1308,1308
1602457497,1321,1321
1602458731,1331,1331
1602460234,1334,1334
1602461843,1337,1337
1602462886,1340,1340
1602464156,1347,1347
1602465942,1353,1353
1602467449,1354,1354
1602468870,1355,1355
1602470082,1363,1363
1602473693,1378,1378
1602474845,1383,1383
1602476318,1384,1384
1602480092,1398,1398
1602481747,1388,1388
1602483408,1394,1394
1602484474,1395,1395
1602486631,1410,1410
1602488083,1401,1401
1602489744,1395,1395
1602491125,1401,1401
1602492629,1392,1392
1602494179,1384,1384
1602495281,1380,1380
1602497743,1375,1375
1602498885,1363,1363
1602500752,1338,1338
1602502495,1326,1326
1602503697,1334,1334
1602505121,1338,1338
1602506078,1334,1334
1602507435,1331,1331
1602509037,1328,1328
1602509689,1323,1323
1602511605,1319,1319
1602513294,1313,1313
1602514425,1313,1313
1602516330,1318,1318
1602516876,1312,1312
1602518407,1305,1305
1602519654,1309,1309
1602520486,1299,1299
1602522886,1298,1298
1602524658,1297,1297
1602526140,1293,1293
1602527684,1296,1296
1602529497,1293,1293
1602531281,1290,1290
1602533713,1286,1286
