DateTime,AddedIPs,RemovedIPs
1602125330,21,16
1602127245,10,16
1602129147,12,15
1602131100,21,13
1602133015,8,11
1602134907,6,22
1602136864,13,23
1602139723,18,55
1602141637,14,9
1602143559,11,12
1602145486,10,15
1602147431,14,16
1602149542,33,11
1602151461,13,14
1602153420,30,13
1602155301,12,0
1602157215,27,0
1602159175,21,14
1602161079,14,17
1602162982,12,15
1602164924,13,10
1602166873,10,4
1602168739,8,16
1602170687,11,12
1602172602,10,6
1602174502,15,6
1602176456,13,26
1602178366,28,9
1602180288,20,11
1602182196,31,13
1602184107,13,14
1602186055,29,26
1602189881,22,40
1602191809,10,13
1602193703,10,10
1602195680,15,13
1602201415,14,55
1602203286,14,11
1602205238,12,12
1602207171,26,12
1602209077,10,11
1602210982,38,30
1602212942,14,0
1602216764,20,47
1602218711,28,21
1602220574,12,24
1602222755,11,33
1602224659,17,0
1602228510,13,19
1602230426,18,24
1602232364,32,9
1602234269,16,27
1602236199,14,19
1602238167,18,39
1602240036,28,20
1602241970,13,0
1602243890,12,12
1602245798,15,15
1602247716,14,15
1602249661,7,19
1602251538,13,9
1602253497,9,18
1602255435,8,16
1602258355,14,40
1602260201,9,16
1602262121,12,31
1602264046,12,10
1602265949,12,35
1602267872,11,28
1602270765,12,0
1602272694,17,0
1602274591,3,13
1602277514,12,29
1602279408,27,18
1602283236,36,28
1602285149,16,12
1602287106,16,24
1602288980,26,12
1602290902,19,23
1602292865,21,0
1602294746,14,12
1602296668,18,12
1602298617,12,12
1602300509,13,24
1602303379,24,15
1602305303,21,23
1602307268,8,27
1602309156,17,0
1602311116,15,11
1602313019,12,19
1602314920,9,21
1602316857,16,15
1602318769,19,0
1602320668,18,11
1602322580,30,26
1602324553,16,14
1602326454,30,12
1602328353,5,0
1602330292,12,12
1602332176,17,13
1602334104,18,15
1602336076,11,23
1602337943,15,14
1602341834,9,26
1602343705,16,4
1602345640,9,29
1602347566,33,5
1602349515,9,26
1602351415,34,7
1602353326,10,10
1602355236,42,9
1602357171,20,15
1602359067,8,27
1602361947,25,15
1602364835,20,38
1602366749,20,23
1602368703,14,13
1602370601,9,24
1602375415,9,40
1602377323,22,19
1602379223,14,16
1602381144,15,6
1602383096,18,8
1602385030,12,10
1602386907,16,9
1602388849,15,0
1602390744,24,21
1602392900,15,28
1602394819,21,19
1602396765,15,25
1602398657,14,12
1602400589,19,14
1602402535,18,37
1602404428,15,16
1602406347,13,0
1602408284,14,11
1602410244,16,17
1602412106,9,16
1602414077,13,16
1602415960,29,17
1602417867,10,0
1602419817,24,21
1602421707,18,18
1602425588,19,39
1602427465,9,11
1602429668,19,16
1602432494,10,0
1602434426,27,20
1602436371,16,0
1602438283,14,22
1602440184,8,5
1602442130,25,22
1602445006,33,11
1602446981,15,9
1602448858,35,32
1602450807,14,16
1602452678,23,27
1602454589,11,19
1602456546,13,17
1602458442,18,20
1602460370,14,15
1602462295,9,18
1602464193,14,12
1602466139,15,18
1602468074,13,11
1602469949,42,12
1602471882,10,19
1602473823,34,33
1602475730,9,17
1602477634,29,36
1602479562,8,0
1602481459,13,9
1602483393,15,17
1602485342,17,19
1602487234,18,0
1602489148,20,20
1602491101,17,32
1602492992,14,0
1602494912,15,33
1602496847,8,0
1602498746,32,12
1602500906,21,12
1602502865,33,9
1602504746,11,14
1602506661,8,15
1602508601,7,18
1602510504,8,7
1602512473,16,17
1602514344,6,15
1602516265,10,15
1602519172,6,16
1602521091,15,23
1602522985,13,15
1602524918,10,12
1602526872,12,19
1602528758,11,24
1602530682,13,19
1602534514,13,23
1602536432,10,12
1602538420,14,10
1602540278,10,17
1602542188,15,0
1602544119,15,31
1602546084,8,19
1602547945,17,18
1602549895,14,17
1602551775,10,0
1602553703,12,41
1602555650,12,17
1602557550,8,39
1602559487,6,19
1602561389,13,0
1602563324,14,0
1602565247,24,12
1602567381,12,18
1602569304,25,16
1602571243,9,16
1602573152,14,18
1602575061,10,16
1602577024,8,14
1602578947,8,17
1602580840,13,18
1602582773,9,27
1602584674,13,15
1602587546,7,31
1602589460,15,15
1602591407,9,0
1602593304,11,26
1602596182,10,13
1602599099,12,44
1602600996,7,32
1602602926,7,11
1602608699,13,39
1602611575,12,28
1602613472,15,0
1602617344,14,17
1602619232,11,17
1602621161,20,10
1602623086,15,0
1602624979,13,17
1602626904,14,11
1602628859,18,0
1602630767,10,10
1602634586,9,38
1602636496,13,35
1602638455,14,16
1602640344,15,33
1602642264,10,26
1602644252,16,0
1602646104,8,9
1602648050,13,0
1602649988,13,24
1602651857,12,9
1602655722,10,19
1602657626,12,7
1602661489,19,16
1602663392,12,17
1602665549,23,20
1602667492,10,9
1602669398,11,24
1602671300,14,13
1602673272,11,0
1602675140,14,6
1602677070,12,13
1602679023,6,9
1602680911,6,11
1602682825,7,12
1602684763,14,10
1602686680,11,10
1602688615,8,6
1602690501,16,42
1602692436,7,13
1602694361,16,0
1602696266,5,5
1602698233,18,25
1602700101,16,0
1602702985,9,14
1602704923,16,22
1602706851,15,8
1602708751,13,35
1602710678,16,0
1602712654,8,16
1602714508,20,12
1602718368,17,42
1602720260,12,32
1602722525,13,36
1602724622,13,15
1602726782,10,15
1602728667,21,9
1602730596,13,20
1602732524,16,8
1602735405,13,11
1602741148,10,35
1602743063,13,17
1602745003,9,17
1602749802,17,23
1602751705,9,12
1602753648,9,17
1602755551,9,31
1602757488,13,10
1602759407,10,27
1602761318,15,13
1602763298,16,19
1602765141,10,14
1602767318,9,12
1602769238,12,14
1602771173,9,7
1602773061,6,15
1602774986,8,12
1602776940,6,9
1602778842,8,9
1602780795,14,12
1602782700,14,16
1602784597,14,29
1602786763,14,21
1602788751,16,30
1602790603,11,12
1602792516,20,27
1602794489,24,0
1602796354,23,17
1602798273,13,11
1602802104,12,25
1602804065,9,0
1602807871,7,13
1602809801,14,15
1602811687,11,20
1602813637,14,37
1602815565,11,12
1602817462,12,41
1602819379,15,13
1602821331,15,0
1602823243,8,23
1602825137,11,33
1602827080,9,15
1602828963,6,12
1602830886,10,19
1602832835,11,0
1602834724,12,17
1602836658,7,19
1602838595,10,30
1602840504,14,15
1602842441,14,17
1602844403,9,14
1602846532,16,33
1602848435,15,13
1602850345,15,18
1602852304,17,16
1602855192,11,17
1602857066,8,9
1602860967,18,19
1602863808,9,12
1602865701,21,7
1602867645,22,14
1602869583,14,10
1602871462,15,10
1602873382,16,15
1602875327,23,0
1602877223,13,17
1602879133,10,16
1602881090,14,8
1602882999,16,12
1602884908,15,31
1602886877,7,0
1602888767,12,37
1602890666,16,13
1602892625,14,19
1602896436,9,41
1602898378,12,25
1602900276,14,18
1602903136,17,22
1602905069,15,9
1602907021,12,19
1602908909,17,29
1602912765,7,35
1602914652,20,14
1602919447,21,25
1602921414,16,12
1602925230,10,46
1602927160,7,19
1602929056,14,39
1602931006,16,17
1602934819,5,42
1602936777,16,16
1602938697,9,19
1602940592,11,14
1602945388,12,30
1602947562,10,12
1602949498,8,12
1602951443,9,8
1602953324,10,32
1602955230,15,5
1602957177,5,34
1602959063,17,14
1602960985,9,50
1602962926,12,19
1602965825,13,10
1602967699,16,28
1602969618,11,0
1602971593,8,39
1602973461,11,0
1602975390,7,16
1602977330,12,10
1602979260,11,0
1602981150,10,11
1602984980,17,39
1602986903,9,16
1602988854,9,17
1602990739,12,8
1602994629,13,31
1602996544,23,37
1602998417,16,19
1603000360,17,21
1603002263,9,15
1603004170,16,8
1603006110,19,22
1603008020,16,16
1603011885,30,28
1603013767,19,12
1603017699,9,27
1603019528,3,14
1603021451,6,32
1603023418,16,12
1603025302,12,29
1603027259,11,25
1603029166,17,0
1603031064,7,19
1603033029,2,9
1603034898,4,18
1603036829,9,0
1603038813,5,12
1603040670,6,33
1603042584,7,15
1603046433,15,28
1603048406,13,28
1603050288,10,28
1603052278,11,19
1603054105,11,34
1603056048,8,14
1603057940,12,25
1603059868,9,10
1603061832,6,16
1603063698,11,17
1603065631,18,15
