DateTime,AddedIPs,RemovedIPs
1602791424,16,0
1602791724,15,0
1602792029,15,0
1602792326,20,0
1602792625,8,0
1602792924,15,0
1602793224,9,0
1602793829,3,0
1602794727,8,0
1602796527,11,0
1602796826,1,0
1602797429,6,0
1602798327,3,0
1602798625,1,0
1602800124,3,0
1602801031,3,0
1602801929,4,0
1602803726,4,0
1602804626,7,0
1602805527,3,0
1602807324,1,0
1602808226,11,0
1602811225,1,1
1602811828,4,0
1602812730,3,0
1602815427,5,0
1602816327,2,0
1602816627,1,0
1602816923,1,0
1602817526,0,1
1602819027,2,0
1602819928,2,0
1602822326,0,3
1602822626,5,0
1602826229,8,0
1602827129,1,0
1602829830,17,0
1602830727,1,0
1602833426,3,0
1602834627,2,0
1602836424,1,0
1602837027,1,0
1602837925,1,0
1602838524,2,0
1602838828,10,0
1602839127,4,0
1602839425,8,0
1602839727,5,0
1602840025,11,0
1602840327,1,0
1602840629,10,0
1602841225,2,0
1602841528,5,0
1602841828,6,0
1602842124,5,0
1602842429,5,0
1602842727,6,1
1602843326,2,0
1602844230,6,0
1602845128,1,0
1602845424,1,0
1602846925,3,0
1602847225,2,0
1602847526,6,0
1602847831,19,0
1602848125,4,0
1602848424,2,0
1602850527,1,0
1602851427,8,0
1602852625,1,0
1602853527,0,1
1602854129,2,0
1602855029,10,0
1602855324,0,1
1602857126,0,1
1602858629,5,0
1602860124,3,0
1602860426,7,0
1602860726,3,1
1602861327,2,0
1602862229,3,0
1602864329,0,2
1602864927,1,0
1602865827,5,0
1602867027,11,0
1602867324,10,0
1602867629,5,0
1602867927,4,0
1602868524,1,0
1602869426,5,0
1602870325,2,0
1602872423,38,0
1602873033,4,0
1602874227,1,0
1602876628,10,0
1602877526,1,0
1602877826,2,0
1602880228,4,0
1602883830,3,0
1602884728,1,0
1602885029,7,0
1602885632,0,1
1602887431,10,0
1602888325,1,0
1602888628,1,0
1602889525,0,1
1602890127,1,0
1602891028,5,0
1602891928,1,0
1602893727,3,0
1602894630,4,0
1602895529,1,0
1602895825,1,0
1602896124,1,0
1602896725,0,1
1602898230,9,0
1602899428,5,0
1602901527,0,1
1602901829,9,0
1602904529,2,0
1602905430,9,0
1602908126,1,0
1602909029,8,0
1602909931,2,0
1602910225,1,0
1602911724,2,0
1602912627,13,0
1602913525,1,0
1602913826,1,0
1602916230,4,0
1602917126,1,0
1602917723,1,0
1602918327,1,1
1602918625,30,0
1602918926,1,0
1602919830,9,0
1602920728,12,0
1602921027,29,0
1602921927,3,1
1602922225,8,0
1602922528,2,0
1602923431,3,0
1602924327,1,0
1602925529,0,2
1602925825,5,0
1602927029,2,0
1602929130,1,0
1602929424,1,0
1602930630,3,0
1602933026,2,0
1602933325,1,0
1602934227,2,0
1602936626,6,0
1602936926,8,0
1602937829,5,0
1602939027,9,0
1602940528,2,0
1602941431,11,0
1602942026,40,0
1602942328,3,0
1602942925,10,0
1602943228,9,0
1602943529,3,0
1602943824,3,0
1602944125,3,0
1602945029,8,0
1602946226,0,1
1602946525,1,0
1602948628,23,0
1602949528,6,0
1602949827,6,0
1602950124,2,0
1602950427,2,0
1602952229,4,0
1602952524,4,0
1602952826,8,0
1602953126,13,0
1602953426,1,0
1602953724,0,4
1602955829,4,0
1602956424,5,0
1602956728,9,0
1602957027,7,0
1602957630,4,0
1602957929,3,0
1602958224,2,0
1602958527,1,0
1602959429,2,0
1602960328,2,0
1602962128,1,0
1602963031,6,0
1602963931,2,0
1602964225,10,0
1602964830,21,0
1602965127,5,1
1602965424,3,0
1602965725,2,0
1602966026,1,0
1602966628,1,0
1602968725,1,0
1602969024,2,0
1602969327,4,0
1602969626,1,0
1602970231,7,0
1602970525,0,2
1602970825,1,0
1602971130,4,0
1602971428,4,0
1602971724,1,0
1602972624,1,0
1602973830,9,0
1602974725,1,0
1602975025,1,0
1602976226,1,0
1602976526,1,0
1602977429,5,0
1602979825,2,0
1602980125,2,0
1602981032,9,0
1602981930,5,0
1602983425,1,0
1602983727,1,0
1602984629,7,0
1602985527,2,0
1602987024,1,0
1602988227,1,0
1602989128,1,0
1602990625,1,0
1602990929,2,0
1602991829,3,0
1602992728,1,0
1602994225,1,0
1602994526,1,0
1602995429,4,0
1602996328,1,0
1602999324,3,0
1602999929,2,0
1603001424,1,0
1603001726,1,0
1603002026,3,0
1603002631,8,0
1603003527,1,0
1603005626,1,0
1603006229,3,0
1603007127,2,0
1603007424,1,0
1603007724,2,0
1603008927,1,0
1603009225,1,0
1603009830,7,0
1603012224,2,0
1603013432,11,0
1603014328,44,0
1603014627,38,0
1603016125,20,0
1603016425,2,0
1603017029,5,0
1603017928,11,0
1603018226,3,0
1603018523,10,0
1603018828,1,0
1603019726,8,0
1603020027,1,0
1603020629,3,0
1603021526,13,0
1603021825,28,0
1603023327,2,0
1603023625,2,0
1603024230,3,0
1603025129,4,0
1603025427,4,0
1603025725,1,0
1603027834,43,0
1603028124,12,0
1603028425,11,1
1603028728,22,0
1603029027,29,0
1603029629,20,0
1603029929,0,1
1603030225,3,0
1603030525,16,0
1603030826,16,0
1603031429,28,1
1603032327,4,0
1603032626,1,0
1603033230,4,0
1603033529,6,0
1603033824,7,0
1603034128,7,0
1603034426,1,0
1603034726,12,0
1603035030,7,0
1603035325,4,0
1603035624,3,0
1603035928,2,0
1603036523,5,0
1603036829,2,0
1603037130,5,0
1603037725,7,0
1603038628,5,0
1603039227,11,0
1603039527,20,0
1603039827,17,0
1603040125,6,0
1603041327,2,0
1603042231,1,0
1603042825,7,0
1603043425,4,0
1603044926,1,0
1603045829,7,0
1603046727,25,0
1603048527,15,0
1603048825,1,0
1603049431,10,0
1603049726,3,0
1603050026,6,0
1603050627,22,0
1603050925,12,0
1603051230,10,0
1603051529,4,0
1603051825,3,0
1603052125,5,0
1603053029,16,0
1603053324,6,0
1603053627,3,0
1603053927,7,0
1603054226,7,0
