DateTime,AddedIPs,RemovedIPs
1602686044,309,159
1602687624,8,12
1602687627,56,23
1602689532,58,74
1602690327,28,80
1602691470,5,12
1602692127,89,69
1602693365,13,18
1602693498,0,251
1602693928,42,76
1602695314,9,11
1602697209,130,150
1602697503,0,254
1602699130,40,34
1602699400,50,76
1602701069,11,14
1602701103,50,69
1602701864,50,30
1602702031,255,0
1602702983,9,12
1602703504,39,62
1602704513,23,69
1602704921,9,9
1602706849,21,10
1602707968,130,160
1602708749,14,267
1602710676,92,96
1602712007,57,84
1602712652,14,11
1602714506,11,13
1602714846,88,149
1602716457,216,0
1602716737,73,52
1602717335,256,0
1602718368,9,10
1602719134,43,0
1602720260,5,5
1602722525,11,11
1602723636,0,254
1602724622,11,6
1602726782,11,6
1602728667,7,6
1602729112,0,255
1602730595,7,12
1602732524,11,7
1602734530,9,12
1602736353,7,16
1602738245,19,14
1602740265,19,6
1602742110,13,6
1602744004,14,9
1602745813,12,13
1602747871,11,5
1602749801,9,13
1602751704,15,13
1602752078,1182,1530
1602753647,9,14
1602753905,87,76
1602755138,22,97
1602755550,10,7
1602757487,11,506
1602758122,106,91
1602758738,51,67
1602759406,15,16
1602759638,39,30
1602761317,254,0
1602761644,137,148
1602763296,16,13
1602764138,79,29
1602764146,72,44
1602765140,23,10
1602765938,45,79
1602767317,89,46
1602768846,122,145
1602769237,15,1282
1602771171,9,9
1602771338,117,68
1602772477,1018,0
1602773060,5,6
1602773943,119,138
1602774984,9,16
1602775273,60,16
1602776250,23,76
1602776938,12,10
1602777720,82,65
1602778840,19,12
1602779112,70,3
1602780793,8,11
1602781226,315,92
1602782698,95,100
1602783657,84,98
1602784596,16,7
1602786761,484,111
1602786844,251,65
1602788749,11,14
1602789328,0,255
1602790601,434,34
1602790898,491,56
1602791319,381,96
1602792514,8,7
1602793053,464,111
1602794045,229,181
1602794487,521,12
1602795631,313,26
1602796352,13,11
1602797832,323,298
1602798271,7,15
1602798331,391,82
1602800213,334,89
1602800704,361,1
1602802104,7,12
1602802215,370,71
1602804065,218,0
1602804634,254,76
1602805969,9,9
1602806439,627,57
1602807871,9,13
1602808446,687,103
1602809801,10,8
1602810036,365,17
1602811687,13,4
1602811996,377,57
1602813637,306,65
1602815567,4,7
1602815654,437,139
1602817462,8,11
1602818136,50,27
1602818279,52,50
1602819378,10,12
1602820209,57,82
1602821331,8,10
1602823243,140,148
1602825136,4,6
1602825336,79,64
1602827080,145,169
1602828963,8,8
1602830052,102,82
1602830886,10,11
1602832835,110,273
1602834336,73,107
1602834723,10,8
1602835238,47,2
1602836657,9,12
1602837548,62,88
1602837590,58,70
1602838594,8,10
1602839125,56,73
1602840503,6,20
1602840845,52,56
1602842440,8,556
1602844402,83,81
1602845103,45,60
1602846531,294,0
1602848434,584,100
1602848725,47,77
1602849913,316,79
1602850344,20,4
1602851109,49,2
1602852303,21,82
1602854195,10,12
1602855487,88,80
1602856083,7,7
1602856204,118,103
1602858029,8,7
1602859057,50,1101
1602859529,37,65
1602859925,5,7
1602861848,113,110
1602862962,40,68
1602863806,9,18
1602864111,71,49
1602864932,255,0
1602865700,9,8
1602866053,55,79
1602867644,9,19
1602868533,256,0
1602869582,140,79
1602870180,41,81
1602870302,0,252
1602871461,8,19
1602872135,302,83
1602872705,55,4
1602873381,11,25
1602873720,16,54
1602875326,3,14
1602875736,107,71
1602877221,11,13
1602877325,40,76
1602878357,80,82
1602879131,10,14
1602879907,61,5
1602880238,250,256
1602881088,28,84
1602882997,10,14
1602883839,65,72
1602884907,50,98
1602886875,6,13
1602887859,166,147
1602888767,6,8
1602890144,83,87
1602890666,286,0
1602892625,10,11
1602892858,120,79
1602894500,8,12
1602894855,130,120
1602896436,8,10
1602896685,82,52
1602898378,6,9
1602898478,34,2
1602899405,49,65
1602900276,6,7
1602902239,11,7
1602902746,128,136
1602904112,7,10
1602904628,111,91
1602905447,0,256
1602905655,57,61
1602906003,11,16
1602907926,10,14
1602908249,125,69
1602909245,46,68
1602909872,7,11
1602911765,11,19
1602911883,76,77
1602912844,25,73
1602913684,4,18
1602915636,8,26
1602916600,155,94
1602917527,5,13
1602918054,119,176
1602919446,9,22
1602919504,88,2
1602920746,40,95
1602921413,9,9
1602921946,174,99
1602923284,11,19
1602923644,58,75
1602925229,7,16
1602925248,57,31
1602927158,104,76
1602927526,56,86
1602929055,11,571
1602929904,233,83
1602931005,65,128
1602932918,500,110
1602933348,0,510
1602934818,111,89
1602936049,0,20759
1602936776,94,60
1602937504,20859,0
1602938696,6,8
1602938972,69,86
1602940591,18,15
1602941448,164,381
1602942234,586,102
1602942501,12,6
1602943429,266,88
1602944434,8,12
1602944674,54,2
1602946349,12,3
1602946832,92,72
1602948249,12,10
1602948776,398,340
1602948844,91,78
1602950161,10,6
1602950432,74,277
1602951450,94,58
1602952111,10,10
1602952445,48,89
1602954010,8,7
1602955272,143,72
1602955924,9,6
1602957006,86,385
1602957872,6,11
1602958533,0,250
1602959762,4,16
1602960229,383,587
1602960590,85,640
1602961931,3,11
1602963244,153,963
1602963844,12,16
1602964836,0,255
1602965823,30,12
1602966845,151,1163
1602967697,35,6
1602969616,32,9
1602969810,62,468
1602971591,21,5
1602972038,37,461
1602973459,90,479
1602974045,59,425
1602975390,19,12
1602977330,304,484
1602977643,17,482
1602979260,22,12
1602981150,24,6
1602982245,75,449
1602983113,63,416
1602983739,37,418
1602984980,12,7
1602986903,11,11
1602987904,220,331
1602988854,14,3
1602989140,13,70
1602990738,13,11
1602992241,127,146
1602992662,18,6
1602994628,21,11
1602995759,83,77
1602996544,20,9
1602997240,47,155
1602998416,20,5
1602999245,106,163
1603000360,24,13
1603000884,54,52
1603002262,19,13
1603002881,54,1
1603004169,57,84
1603005222,161,77
1603006109,18,8
1603007102,39,85
1603008020,25,17
1603009507,161,82
1603009940,13,9
1603010740,19,61
1603011884,16,8
1603012636,176,66
1603013766,49,67
1603015709,23,421
1603017698,172,134
1603019527,197,0
1603019740,81,65
1603020432,24,3
1603021450,31,75
1603022163,42,29
1603023417,16,7
1603023904,55,44
1603024939,18,85
1603025301,16,12
1603027258,18,10
1603027675,118,97
1603029164,15,822
1603031063,98,59
1603032303,40,84
1603033028,13,16
1603034140,92,76
1603034896,7,10
1603035628,49,54
1603036828,11,11
1603036861,48,46
1603037741,0,253
1603038811,79,13
1603038845,23,105
1603040668,14,6
1603042582,13,5
1603042871,1401,58
1603043405,50,63
1603044530,5,7
1603046431,163,64
1603047004,615,86
1603047628,0,254
1603048405,44,6
1603049645,602,154
1603050286,21,6
1603051230,255,0
1603052276,19,12
1603053030,231,50
1603054103,21,9
1603054204,100,51
1603056046,18,10
1603056631,80,77
1603056855,153,82
1603057937,21,10
1603058415,0,15521
1603059866,125,59
1603060233,15732,0
1603061832,97,93
1603063698,180,0
1603064045,194,166
1603065631,14,6
1603067599,20,14
1603068790,174,103
1603069463,119,59
1603071410,18,10
1603071442,108,73
1603072206,77,66
1603073320,13,5
1603075219,118,163
1603076483,76,129
1603077167,11,7
1603078448,110,82
1603078770,0,256
1603079092,8,9
1603080985,10,13
1603081394,146,69
1603082274,42,47
1603082898,11,6
1603083775,65,85
1603084835,15,9
1603085646,72,106
1603086728,9,8
1603087463,66,118
1603088670,15,5
1603088718,64,2
1603090601,16,6
1603090836,53,102
1603092196,78,133
1603092484,18,5
1603093130,21,119
1603094432,11,9
1603094597,53,74
1603096355,13,11
1603096445,76,124
1603098272,15,10
1603098438,76,124
1603100173,18,13
1603100377,160,155
1603102130,77,643
1603102667,52,163
1603104037,25,26
1603104336,51,181
1603105994,364,2
1603106420,188,112
1603107887,16,16
1603108208,78,110
1603110048,18,19
1603110638,52,172
1603111377,580,134
1603111940,16,17
1603113876,15,14
1603114226,230,220
1603115824,11,12
1603116026,340,133
1603117733,7,7
1603117828,74,157
1603119651,90,294
1603121576,46,18
1603121644,38,120
1603123465,7,14
1603124591,132,94
1603125407,18,21
1603127324,9,20
1603127730,108,183
1603128167,149,17
1603129241,63,156
1603129399,0,1024
1603131196,12,16
1603132231,165,125
1603133095,14,13
1603133404,87,126
1603135021,13,19
1603136046,159,156
1603136914,11,20
1603138863,8,15
1603139646,213,335
1603140740,14,14
1603142674,9,12
1603143244,278,155
1603144621,11,17
1603146482,10,20
1603146639,172,65
1603148425,402,48
1603150354,66,67
1603150444,91,53
1603152248,11,9
1603152939,114,15
1603153473,113,68
1603154164,12,18
1603155186,36,46
1603156114,74,39
1603157644,114,230
1603158004,9,9
1603159924,11,12
1603160259,107,66
1603161244,49,63
1603161872,11,9
1603163767,14,15
