DateTime,AddedIPs,RemovedIPs
1602750124,4,0
1602750782,3,0
1602751324,4,0
1602752524,4,0
1602753723,5,0
1602754924,1,0
1602755524,9,0
1602756123,30,0
1602756724,4,0
1602757324,6,1
1602758523,3,0
1602759124,1,0
1602759723,5,0
1602760324,2,0
1602760924,4,0
1602762123,1,0
1602762723,2,0
1602763323,2,0
1602764524,2,0
1602765724,17,0
1602766323,7,0
1602766924,3,1
1602767523,3,0
1602768124,1,0
1602768723,3,0
1602769323,3,1
1602770524,2,0
1602771124,5,0
1602771723,3,0
1602772923,4,0
1602774123,4,0
1602775323,59,0
1602775924,1,0
1602777123,7,0
1602777723,3,0
1602778924,7,0
1602779582,9,0
1602780123,4,0
1602781323,3,0
1602782523,2,0
1602783124,6,0
1602783724,2,0
1602784323,3,0
1602785523,1,0
1602786723,6,1
1602786782,1,0
1602787323,5,0
1602788524,2,0
1602789123,11,0
1602790381,22,0
1602790923,8,0
1602792124,10,0
1602792724,4,0
1602793323,2,0
1602794524,15,0
1602795723,3,0
1602796924,4,0
1602797581,4,0
1602798124,7,0
1602798724,4,1
1602800524,6,0
1602801181,2,0
1602801724,17,0
1602802323,2,0
1602802923,2,0
1602804124,3,0
1602806524,14,1
1602807123,8,0
1602807724,5,0
1602808924,16,0
1602810123,9,0
1602811324,3,0
1602811982,3,0
1602814924,3,0
1602816123,23,2
1602817323,8,0
1602818523,5,0
1602819723,5,0
1602820324,7,0
1602821524,12,0
1602823323,1,0
1602824523,2,0
1602825123,4,0
1602825723,2,1
1602826923,9,0
1602828124,2,1
1602829324,2,2
1602830523,1,0
1602831724,3,0
1602832923,1,0
1602833581,1,0
1602834123,7,0
1602835323,1,0
1602836523,11,0
1602837724,12,0
1602838924,3,0
1602839524,6,0
1602840123,2,0
1602841324,12,0
1602841924,1,0
1602842523,0,1
1602843123,10,0
1602843723,1,0
1602844324,9,0
1602844923,13,0
1602845523,3,0
1602846123,7,1
1602847323,4,0
1602848524,6,0
1602849723,4,0
1602850324,1,0
1602850924,3,0
1602852124,5,0
1602852724,4,0
1602853323,1,0
1602853923,3,1
1602854523,2,0
1602855181,2,0
1602855723,5,0
1602856923,2,0
1602857524,3,0
1602858124,4,0
1602858782,10,1
1602859323,2,0
1602859923,3,0
1602860524,0,1
1602861124,6,0
1602861724,6,0
1602862324,6,0
1602862924,10,1
1602864123,1,0
1602864724,1,1
1602865324,2,0
1602865981,1,0
1602866523,3,0
1602867123,2,0
1602867724,7,0
1602868323,2,0
1602868924,2,1
1602870123,6,1
1602871323,5,0
1602871923,1,0
1602873723,6,0
1602874323,2,2
1602874923,3,0
1602876124,7,0
1602877323,2,0
1602878524,2,0
1602879724,4,2
1602880323,5,1
1602880923,3,0
1602881523,2,0
1602883324,4,0
1602884524,7,0
1602885724,10,0
1602886923,11,0
1602888123,10,0
1602888724,1,0
1602889323,4,0
1602889923,1,0
1602890523,5,0
1602891124,4,0
1602891181,14,0
1602891724,8,0
1602892324,1,0
1602892924,3,0
1602894124,5,0
1602894781,4,0
1602896524,7,0
1602897123,7,0
1602897723,7,0
1602898923,8,0
1602899524,4,0
1602900124,6,0
1602900723,5,0
1602901324,7,0
1602901982,3,0
1602902524,2,0
1602903723,2,0
1602904923,1,0
1602906123,4,0
1602907323,2,0
1602908523,8,0
1602909724,4,0
1602910923,2,0
1602911524,11,0
1602912124,5,0
1602913324,5,0
