DateTime,AddedIPs,RemovedIPs
1602227048,61,72
1602228964,59,78
1602230912,48,65
1602232804,48,51
1602234727,56,56
1602236670,64,67
1602238563,85,3279
1602240485,73,56
1602242428,1431,0
1602244323,76,71
1602246245,90,47
1602248192,93,57
1602250083,88,60
1602252015,80,80
1602253951,65,51
1602255846,57,45
1602257762,69,45
1602259713,59,59
1602261606,128,61
1602263525,97,71
1602265469,73,47
1602267364,89,59
1602269285,66,46
1602271237,98,73
1602273123,136,74
1602275044,54,55
1602276988,77,71
1602278882,67,49
1602280814,87,66
1602282753,108,58
1602284647,1204,0
1602286566,57,70
1602288516,47,49
1602290405,93,33
1602292327,74,40
1602294271,78,58
1602296164,45,46
1602298085,39,35
1602300032,30,30
1602301925,88,54
1602303845,45,49
1602305791,76,67
1602307683,34,35
1602309615,43,50
1602311559,39,43
1602313448,46,46
1602315369,102,78
1602317315,72,65
1602319204,37,51
1602321129,33,55
1602323072,83,48
1602324968,54,3472
1602326882,104,75
1602328829,1430,0
1602330723,82,50
1602332646,49,71
1602334591,106,70
1602336484,68,62
1602338418,136,59
1602340358,62,59
1602342249,47,56
1602344166,115,72
1602346112,60,45
1602348007,69,76
1602349959,76,54
1602351845,62,45
1602353763,89,67
1602355709,85,68
1602357602,79,56
1602359524,118,48
1602361472,68,59
1602363363,75,47
1602365527,84,74
1602367445,97,61
1602369391,124,82
1602371287,1212,0
1602373207,63,52
1602375153,56,54
1602377046,124,53
1602378963,142,57
1602380911,58,42
1602382802,32,44
1602384723,45,51
1602386673,32,50
1602388563,105,48
1602390482,51,54
1602392439,66,55
1602394327,34,40
1602396246,34,42
1602398194,92,69
1602400085,64,55
1602402008,40,54
1602403952,32,39
1602405848,59,46
1602407765,53,53
1602409707,69,56
1602411603,40,3449
1602413523,83,115
1602415474,1455,0
1602417367,85,59
1602419283,41,55
1602421245,41,105
1602423125,149,78
1602425047,193,58
1602426990,116,53
1602428885,57,26
1602430809,50,88
1602432750,46,50
1602434643,195,76
1602436562,118,55
1602438506,85,54
1602440401,55,29
1602442565,85,59
1602444487,102,57
1602446432,187,127
1602448325,84,45
1602450245,70,31
1602452188,63,86
1602454085,58,43
1602456007,170,100
1602457955,1257,0
1602459848,74,38
1602461765,72,42
1602463709,54,80
1602465607,41,47
1602467524,123,72
1602469473,72,34
1602471366,64,33
1602473285,75,30
1602475241,79,78
1602477125,79,61
1602479047,73,48
1602480992,80,40
1602482884,57,37
1602484803,62,43
1602486753,71,36
1602488650,87,107
1602490564,76,54
1602492508,70,39
1602494403,58,30
1602496325,67,84
1602498272,62,3337
1602500164,144,76
1602502107,1403,0
1602504004,101,49
1602505923,100,107
1602508115,112,108
1602510009,120,63
1602511925,71,41
1602513868,82,36
1602515768,84,35
1602517683,99,89
1602519628,86,53
1602521524,177,58
1602523449,89,45
1602525389,77,35
1602527283,61,57
1602529204,77,90
1602531150,106,53
1602533045,95,30
1602534966,77,58
1602536913,59,56
1602538803,82,67
1602540724,84,58
1602542672,100,58
1602544563,1203,0
1602546487,46,36
1602548429,71,63
1602550325,71,104
1602552247,40,24
1602554191,100,57
1602556091,68,35
1602558044,58,32
1602559927,67,48
1602561847,71,51
1602563791,102,53
1602565691,58,40
1602567632,56,39
1602569527,46,37
1602571444,85,83
1602573392,63,57
1602575282,85,32
1602577446,59,34
1602579364,65,69
1602581311,60,43
1602583215,87,3870
1602585128,117,97
1602587073,1747,0
1602588965,105,104
1602590886,107,62
1602592835,113,66
1602594725,65,46
1602596648,91,99
1602598592,85,91
1602600484,73,62
1602602402,78,67
1602604351,66,87
1602606245,66,58
1602608165,98,97
1602610111,76,62
1602612004,58,52
1602614170,128,97
1602616089,85,65
1602618031,115,103
1602619927,102,65
1602621845,73,74
1602623790,90,72
1602625685,102,58
1602627603,57,51
1602629552,105,119
1602631446,1494,2
1602633391,73,62
1602635283,46,49
1602637211,75,50
1602639154,66,53
1602641054,63,73
1602642965,66,70
1602644913,51,49
1602646808,58,68
1602648728,57,50
1602650672,64,84
1602652565,49,55
1602654724,63,54
1602656648,43,61
1602658591,52,67
1602660485,64,56
1602662408,78,92
1602664350,66,61
1602666487,60,80
1602668403,62,48
1602670352,79,3735
1602672244,98,131
1602674168,1675,0
1602676108,99,50
1602678003,72,49
1602679923,103,91
1602681871,86,49
1602683763,76,89
1602685683,64,60
1602687624,69,57
1602689532,69,70
1602691470,54,64
1602693365,92,105
1602695314,76,61
1602697209,86,56
1602699130,69,44
1602701069,69,85
1602702983,100,64
1602704921,71,85
1602706849,103,60
1602708749,85,57
1602710676,81,58
1602712652,116,98
1602714506,73,82
1602716457,1370,0
1602718368,67,56
1602720260,65,34
1602722525,82,82
1602724622,84,40
1602726782,63,66
1602728667,37,40
1602730595,69,53
1602732524,67,43
1602734530,63,65
1602736353,47,76
1602738245,80,56
1602740265,75,40
1602742110,58,38
1602744004,69,69
1602745813,66,57
1602747871,54,69
1602749801,53,60
1602751704,60,57
1602753647,72,61
1602755550,54,81
1602757487,56,3589
1602759406,81,120
1602761317,1561,0
1602763296,105,78
1602765140,108,58
1602767317,92,71
1602769237,83,92
1602771171,84,64
1602773060,77,46
1602774984,94,64
1602776938,93,58
1602778840,78,62
1602780793,107,69
1602782698,58,55
1602784596,62,67
1602786761,107,53
1602788749,90,63
1602790601,98,65
1602792514,77,61
1602794487,81,67
1602796352,68,62
1602798271,68,72
1602800213,91,83
1602802104,79,86
1602804065,1311,0
1602805969,34,57
1602807871,54,43
1602809801,88,58
1602811687,57,40
1602813637,73,70
1602815567,40,50
1602817462,41,49
1602819378,84,49
1602821331,77,47
1602823243,76,70
1602825136,73,45
1602827080,49,58
1602828963,61,38
1602830886,56,48
1602832835,52,59
1602834723,68,55
1602836657,56,56
1602838594,58,59
1602840503,48,70
1602842440,70,3515
1602844402,72,70
1602846531,1565,0
1602848434,80,90
1602850344,76,59
1602852303,81,65
1602854195,93,78
1602856083,75,60
1602858029,75,47
1602859925,36,61
1602861848,70,61
1602863806,92,72
1602865700,100,50
1602867644,104,90
1602869582,58,59
1602871461,57,62
1602873381,92,83
1602875326,90,63
1602877221,125,57
1602879131,78,54
1602881088,79,62
1602882997,86,80
1602884907,76,65
1602886875,76,74
1602888767,77,61
1602890666,1318,0
1602892625,71,52
1602894500,77,58
1602896436,74,51
1602898378,61,65
1602900276,67,25
1602902239,67,54
1602904112,57,48
1602906003,59,56
1602907926,72,57
1602909872,56,45
1602911765,56,80
1602913684,35,50
1602915636,55,77
1602917527,40,53
1602919446,56,54
1602921413,46,47
1602923284,47,51
1602925229,43,74
1602927158,47,56
1602929055,59,3492
1602931005,96,94
1602932918,1509,0
1602934818,92,48
1602936776,94,60
1602938696,81,89
1602940591,88,67
1602942501,60,64
1602944434,87,63
1602946349,67,32
1602948249,80,57
1602950161,71,89
1602952111,81,55
1602954010,76,95
1602955924,67,45
1602957872,69,68
1602959762,54,72
1602961931,54,51
1602963844,65,64
1602965823,87,68
1602967697,103,60
1602969616,94,57
1602971591,77,62
1602973459,92,64
1602975390,100,102
1602977330,1310,0
1602979260,100,50
1602981150,106,57
1602983113,189,53
1602984980,63,50
1602986903,56,60
1602988854,60,30
1602990738,55,36
