DateTime,Entries,UniqueIPs
1602252903,9133,9133
1602254703,9186,9186
1602256503,9212,9212
1602258304,9155,9155
1602260104,9314,9314
1602261904,9422,9422
1602264603,9641,9641
1602266404,9781,9781
1602268203,9735,9735
1602270903,9611,9611
1602272703,9476,9476
1602274503,9342,9342
1602276303,9234,9234
1602278103,9178,9178
1602279903,9094,9094
1602281703,8716,8716
1602283504,8367,8367
1602285303,7965,7965
1602287103,7490,7490
1602288903,7285,7285
1602290703,7142,7142
1602292503,7075,7075
1602294302,6499,6499
1602296103,6189,6189
1602297903,6020,6020
1602300603,5620,5620
1602303302,5310,5310
1602305103,5024,5024
1602306903,4929,4929
1602308703,4719,4719
1602310502,4362,4362
1602312302,4389,4389
1602314103,4409,4409
1602315904,4442,4442
1602317704,3149,3149
1602319504,3019,3019
1602321304,2775,2775
1602323104,2770,2770
1602324904,2785,2785
1602326703,2723,2723
1602328503,2981,2981
1602330304,2836,2836
1602332103,2943,2943
1602333905,2982,2982
1602335703,3229,3229
1602337503,4989,4989
1602339304,5874,5874
1602341104,6258,6258
1602342903,6805,6805
1602344705,7391,7391
1602346505,7742,7742
1602348304,8453,8453
1602351003,8987,8987
1602353705,9668,9668
1602355505,9964,9964
1602357305,10307,10307
1602359104,10542,10542
1602360903,10771,10771
1602362703,10822,10822
1602364503,10794,10794
1602366304,10935,10935
1602368103,11056,11056
1602369904,11164,11164
1602371704,10934,10934
1602373504,10915,10915
1602375303,10893,10893
1602377103,10933,10933
1602378903,10808,10808
1602380703,10661,10661
1602382503,7728,7728
1602384303,7370,7370
1602386103,6821,6821
1602387903,6431,6431
1602389702,6388,6388
1602391502,5786,5786
1602393303,5295,5295
1602395102,5111,5111
1602396903,4786,4786
1602398703,4554,4554
1602400503,4324,4324
1602402302,4081,4081
1602404103,4009,4009
1602405902,4003,4003
1602407702,3924,3924
1602409502,5612,5612
1602411302,6208,6208
1602413102,6488,6488
1602414902,6645,6645
1602416703,6684,6684
1602418503,6607,6607
1602420303,6623,6623
1602422102,6616,6616
1602423902,6575,6575
1602425703,6599,6599
1602427503,6777,6777
1602429303,6826,6826
1602431103,6807,6807
1602432902,6566,6566
1602434703,6801,6801
1602436503,6989,6989
1602438302,7149,7149
1602440103,7380,7380
1602441903,7611,7611
1602443703,7730,7730
1602445502,7902,7902
1602447302,7984,7984
1602449102,7987,7987
1602450902,7921,7921
1602452703,7556,7556
1602454503,5948,5948
1602456302,5710,5710
1602458103,5530,5530
1602459903,5522,5522
1602461703,5724,5724
1602463502,5877,5877
1602465303,5942,5942
1602467103,6294,6294
1602468903,6593,6593
1602470703,6750,6750
1602472502,6942,6942
1602474303,7025,7025
1602476103,7097,7097
1602477902,7149,7149
1602479703,7169,7169
1602481503,7069,7069
1602483302,7165,7165
1602485102,7165,7165
1602486902,7230,7230
1602488702,7402,7402
1602490502,7570,7570
1602492303,7555,7555
1602494102,8220,8220
1602495902,8475,8475
1602497702,8696,8696
1602499502,8714,8714
1602501303,8580,8580
1602503103,8575,8575
1602504902,8868,8868
1602506703,8786,8786
1602508502,8568,8568
1602510303,8422,8422
1602513002,8236,8236
1602515703,8038,8038
1602517503,8128,8128
1602519302,8165,8165
1602521103,8033,8033
1602522903,7945,7945
1602524702,7854,7854
1602526503,7684,7684
1602528303,7518,7518
1602530103,7388,7388
1602531902,7429,7429
1602533702,7478,7478
1602535502,7512,7512
1602537302,7364,7364
1602539103,7197,7197
1602540903,7173,7173
1602542702,6947,6947
1602544503,7069,7069
1602546303,7059,7059
1602548103,6913,6913
1602549903,6941,6941
1602551703,6942,6942
1602553503,6939,6939
1602555303,7017,7017
1602557103,6899,6899
1602558903,6740,6740
1602560703,6645,6645
1602562503,6372,6372
1602564303,6475,6475
1602566103,6519,6519
1602568802,6460,6460
1602570603,6583,6583
1602573303,6865,6865
1602575103,6893,6893
1602576903,6720,6720
1602578703,6555,6555
1602580503,6500,6500
1602582303,6515,6515
1602584103,6596,6596
1602585903,6967,6967
1602587703,7063,7063
1602589503,6881,6881
1602591302,7032,7032
1602593103,7421,7421
1602594903,7644,7644
1602596702,7918,7918
1602598503,8079,8079
1602600302,8115,8115
1602602102,8330,8330
1602603903,8695,8695
1602605702,8877,8877
1602607503,9172,9172
1602609303,9466,9466
1602611103,9829,9829
1602612903,10231,10231
1602615602,10250,10250
1602617402,10253,10253
1602620102,10543,10543
1602621902,10525,10525
1602623703,10524,10524
1602625503,10550,10550
1602627302,10342,10342
1602629102,10140,10140
1602630902,9897,9897
1602632702,10037,10037
1602634502,9886,9886
1602636303,9686,9686
1602638102,9566,9566
1602639902,9450,9450
1602641703,9310,9310
1602643502,9194,9194
1602645303,9121,9121
1602647103,9153,9153
1602648903,8927,8927
1602650703,8730,8730
1602652503,8608,8608
1602654302,8365,8365
1602656102,8080,8080
1602657903,8135,8135
1602659703,8314,8314
1602661503,8461,8461
1602663303,8372,8372
1602665103,8247,8247
1602666903,8286,8286
1602668703,8200,8200
1602670502,8218,8218
1602672303,8262,8262
1602674103,8638,8638
1602675903,9037,9037
1602677703,9457,9457
1602679503,9658,9658
1602681303,9589,9589
1602683105,7842,7842
1602684904,7877,7877
1602686705,4921,4921
1602688507,1744,1744
1602690309,754,754
1602692108,1013,1013
1602693909,1638,1638
1602695709,1838,1838
1602697509,2352,2352
1602700211,2781,2781
1602702909,3016,3016
1602704710,3519,3519
1602707410,3779,3779
1602710110,4224,4224
1602711909,4420,4420
1602714609,4766,4766
1602717310,5135,5135
1602719110,5271,5271
1602720910,5230,5230
1602723610,3070,3070
1602725410,2394,2394
1602727210,1973,1973
1602729010,1996,1996
1602731710,2074,2074
1602733510,2201,2201
1602735307,2194,2194
1602737107,2334,2334
1602738907,2321,2321
1602740706,2515,2515
1602743407,2851,2851
1602746108,3377,3377
1602747909,3792,3792
1602749708,3889,3889
1602751508,4051,4051
1602754207,4339,4339
1602756908,4597,4597
1602758707,4795,4795
1602760507,4792,4792
1602762307,5045,5045
1602764107,5178,5178
1602765907,6251,6251
1602767706,6542,6542
1602769506,6803,6803
1602771305,6729,6729
1602773104,6817,6817
1602774905,6899,6899
1602776705,6979,6979
1602778505,6899,6899
1602780304,6934,6934
1602782104,6727,6727
1602783904,6738,6738
1602785705,6716,6716
1602787504,6564,6564
1602789304,6503,6503
1602791105,6204,6204
1602792905,5827,5827
1602794704,5802,5802
1602796504,5103,5103
1602798304,4329,4329
1602800104,4143,4143
1602801904,4136,4136
1602803705,4118,4118
1602805504,3940,3940
1602807304,3742,3742
1602809104,3479,3479
1602810905,3257,3257
1602812705,3250,3250
1602814505,3323,3323
1602816305,3251,3251
1602818105,3103,3103
1602819905,3260,3260
1602821705,3366,3366
1602823504,3447,3447
1602825305,3436,3436
1602827105,3482,3482
1602828904,3426,3426
1602830704,3467,3467
1602832505,3465,3465
1602834305,3642,3642
1602836105,3618,3618
1602837905,4314,4314
1602839704,4817,4817
1602841505,5209,5209
1602843304,5502,5502
1602845105,5752,5752
1602847804,6260,6260
1602850504,6514,6514
1602852305,6870,6870
1602854104,7144,7144
1602855904,7314,7314
1602857704,7514,7514
1602859505,7646,7646
1602861305,7801,7801
1602863104,8047,8047
1602864904,8407,8407
1602866704,8557,8557
1602868504,8774,8774
1602870304,8889,8889
1602872104,8994,8994
1602873903,9101,9101
1602875705,9103,9103
1602877504,8457,8457
1602879304,8190,8190
1602881104,7990,7990
1602882904,8176,8176
1602884704,8402,8402
1602886504,8630,8630
1602888304,12453,12453
1602890104,12689,12689
1602891904,12758,12758
1602894604,13074,13074
1602897305,13646,13646
1602899104,14061,14061
1602900904,14402,14402
1602902704,14550,14550
1602904504,14823,14823
1602906304,15246,15246
1602908104,15743,15743
1602909904,15945,15945
1602911704,16492,16492
1602913504,16962,16962
1602915304,17541,17541
1602917105,18163,18163
1602919803,19339,19339
1602922504,20252,20252
1602924304,20446,20446
1602926104,20592,20592
1602927904,20642,20642
1602929704,21168,21168
1602931504,19548,19548
1602933304,19315,19315
1602935104,19661,19661
1602936904,19979,19979
1602938704,20366,20366
1602940503,20721,20721
1602942303,21406,21406
1602944104,21389,21389
1602945905,21281,21281
1602947705,20514,20514
1602949504,20418,20418
1602951304,20201,20201
1602953104,19530,19530
1602954904,19187,19187
1602956704,19865,19865
1602958504,19373,19373
1602960304,19118,19118
1602962104,18088,18088
1602963903,18122,18122
1602965704,17537,17537
