DateTime,AddedIPs,RemovedIPs
1602750724,3,1
1602751324,5,5
1602752524,3,0
1602753723,10,14
1602754924,5,0
1602755524,5,2
1602756123,1,0
1602756724,5,6
1602757324,5,0
1602758523,6,8
1602759723,4,1
1602760324,6,8
1602760924,6,0
1602762123,3,11
1602762723,2,0
1602763323,3,4
1602764524,2,3
1602765724,26,3
1602766924,8,16
1602767523,5,0
1602768124,1,4
1602768723,1,0
1602769323,4,0
1602770524,2,1
1602771124,5,1
1602771723,5,0
1602772923,7,1
1602774123,7,7
1602775323,80,0
1602775924,3,4
1602777123,18,4
1602777723,3,24
1602778924,10,1
1602779524,3,4
1602780123,2,2
1602781323,15,2
1602782523,3,9
1602783124,12,0
1602783724,4,3
1602784323,4,4
1602784924,1,16
1602786723,6,5
1602787323,8,5
1602787923,6,35
1602788524,17,0
1602789724,22,8
1602790324,6,0
1602790923,10,0
1602792124,15,0
1602792724,6,9
1602793323,5,5
1602794524,16,4
1602795723,4,7
1602796924,5,1
1602797523,7,10
1602798124,9,1
1602798724,7,0
1602799324,2,0
1602800524,8,3
1602801724,22,4
1602802323,4,5
1602802923,4,0
1602804124,6,8
1602805323,5,25
1602806524,15,5
1602807123,11,0
1602807724,13,0
1602808924,29,10
1602810123,9,29
1602811324,3,0
1602811923,6,3
1602812524,0,8
1602813723,2,0
1602814924,9,5
1602816123,42,0
1602817323,10,3
1602818523,8,5
1602819723,6,15
1602820324,9,0
1602821524,6,2
1602822123,3,0
1602823323,5,8
1602824523,7,11
1602825723,5,3
1602826923,11,0
1602828124,3,37
1602829324,4,6
1602830523,1,2
1602831724,6,1
1602832923,4,2
1602834123,11,31
1602835323,1,2
1602836523,11,2
1602837724,11,9
1602838324,5,0
1602838924,6,2
1602839524,7,7
1602840123,5,0
1602841324,38,22
1602842523,0,15
1602843123,15,0
1602843723,1,0
1602844324,21,7
1602844923,21,1
1602845523,9,2
1602846123,7,1
1602847323,8,12
1602848524,7,6
1602849723,12,5
1602850324,1,0
1602850924,5,1
1602852124,6,13
1602852724,6,0
1602853323,6,3
1602853923,6,1
1602854523,4,61
1602855723,6,4
1602856324,5,3
1602857524,3,2
1602858124,7,21
1602859323,6,2
1602859923,6,0
1602860524,2,3
1602861124,9,0
1602861724,9,15
1602862324,10,0
1602862924,9,2
1602863523,1,7
1602864724,1,23
1602865324,1,0
1602865923,0,14
1602866523,5,2
1602867123,4,0
1602867724,9,1
1602868323,4,0
1602868924,3,1
1602870123,8,45
1602871323,9,2
1602871923,1,0
1602872523,4,5
1602873723,3,8
1602874323,1,0
1602874923,4,0
1602876124,10,10
1602877323,7,0
1602878524,3,18
1602879724,6,0
1602880323,7,0
1602880923,4,0
1602881523,4,1
1602882124,2,0
1602883324,8,31
1602884524,9,1
1602885724,10,5
1602886923,6,0
1602888123,9,7
1602889323,5,2
1602889923,2,0
1602890523,5,0
1602891124,10,23
1602891724,11,0
1602892324,2,9
1602892924,4,14
1602894124,8,0
1602894724,8,16
1602895323,3,0
1602896524,8,24
1602897123,12,0
1602897723,13,3
1602898923,10,3
1602899524,5,0
1602900124,7,0
1602900723,7,15
1602901324,9,0
1602901924,6,19
1602902524,5,0
1602903723,3,3
1602904923,2,20
1602906123,4,5
1602907323,2,0
1602908523,15,5
1602909724,6,3
1602910923,3,0
1602911524,16,4
1602912124,7,1
1602913324,9,2
1602914524,6,5
1602915724,2,13
1602916324,9,0
1602916924,5,0
1602917523,3,0
1602918123,3,13
1602919325,8,0
1602919924,3,11
1602920523,3,1
1602921724,4,0
1602922923,5,1
1602924124,6,4
1602924723,5,8
1602925324,2,0
1602926523,6,14
1602927124,1,0
1602927724,3,1
1602928923,6,2
1602930123,4,19
1602930723,2,4
1602931324,7,3
1602932524,4,0
1602933123,1,2
1602933724,4,1
1602934323,1,0
1602934923,6,0
1602935523,1,1
1602936124,4,0
1602937323,8,2
1602938523,3,8
1602939724,17,0
1602940323,6,0
1602940923,4,3
1602941523,2,0
1602942123,3,5
1602943323,6,0
1602944523,3,4
1602945724,6,2
1602946923,8,0
1602947523,2,1
1602948123,5,0
1602949324,2,2
1602950524,2,29
1602951724,4,0
1602952923,2,18
1602953523,2,4
1602954723,2,5
1602955323,5,7
1602956523,9,7
1602957123,5,0
1602957723,4,3
1602958923,3,15
1602960123,8,0
1602960723,3,0
1602961323,1,1
1602962524,6,16
1602963723,2,4
1602964323,9,2
1602964923,3,0
1602966123,12,5
1602967323,4,1
1602968523,3,0
1602969723,1,9
1602970923,2,9
1602972124,7,0
