DateTime,AddedIPs,RemovedIPs
1600950601,134,0
1600955102,162,0
1600958702,126,0
1600962302,89,0
1600965902,103,0
1600969502,89,0
1600973102,133,0
1600980302,158,0
1600987502,128,0
1600991101,73,0
1600994702,68,2467
1600998301,115,0
1601005502,193,0
1601010002,118,0
1601013602,120,0
1601017202,144,1
1601020802,129,0
1601028002,231,0
1601035203,239,0
1601042402,288,0
1601046003,117,0
1601049603,118,0
1601053202,90,0
1601061302,220,0
1601068502,152,0
1601075702,132,0
1601082902,144,2608
1601086502,123,0
1601093702,267,0
1601097301,144,0
1601101802,149,0
1601105402,108,0
1601109002,101,0
1601112602,115,0
1601116202,81,0
1601119801,122,0
1601123402,129,0
1601127001,115,0
1601130601,72,0
1601137802,259,0
1601141402,114,0
1601145002,81,0
1601149501,107,0
1601153102,79,0
1601156702,76,0
1601160302,65,0
1601168402,192,2552
1601172002,101,0
1601175602,87,0
1601179202,116,0
1601182802,85,0
1601186402,97,0
1601190001,84,0
1601193602,73,0
1601197202,96,0
1601200802,78,0
1601204402,87,0
1601208902,132,0
1601216102,185,0
1601219702,80,0
1601223302,80,0
1601226901,71,0
1601234102,155,0
1601237702,67,0
1601244902,122,0
1601248502,51,0
1601252101,74,2656
1601256602,80,0
1601260202,78,0
1601263802,103,0
1601267402,88,0
1601274601,208,0
1601278202,123,0
1601281802,134,0
1601285402,131,0
1601292602,716,0
1601297101,174,0
1601300702,118,0
1601304302,149,0
1601307901,160,0
1601311501,109,0
1601315101,93,0
1601322303,169,0
1601325901,67,0
1601329502,54,0
1601333102,88,0
1601336701,54,0
1601343902,173,1999
1601347501,85,0
1601355602,270,0
1601359203,136,0
1601362802,145,0
1601366402,127,0
1601370002,122,0
1601377202,208,0
1601380802,124,0
1601384403,149,0
1601388002,119,0
1601391602,172,0
1601395202,132,0
1601398802,113,0
1601402402,171,0
1601406002,134,0
1601409602,124,0
1601413202,105,0
1601416802,118,0
1601420402,268,0
1601424002,93,2890
1601427602,89,0
1601429402,45,0
1601433002,75,0
1601436602,90,0
1601440202,61,0
1601443801,108,0
1601447402,114,0
1601451002,103,0
1601454602,127,0
1601461802,231,0
1601465402,117,0
1601469002,130,0
1601472602,140,0
1601476202,120,0
1601480702,163,0
1601484302,109,0
1601487902,123,0
1601491502,114,0
1601498702,193,0
1601505901,186,0
1601513101,172,3038
1601516702,83,0
1601524802,226,0
1601528402,112,0
1601532002,125,0
1601535602,229,0
1601539202,124,0
1601542802,141,0
1601548202,185,0
1601553602,181,0
1601560802,286,0
1601564403,124,0
1601568002,123,0
1601572502,144,0
1601576102,122,0
1601583302,229,0
1601586901,114,0
1601590501,118,0
1601595002,117,0
1601598603,104,2522
1601605802,387,0
1601613002,225,0
1601620202,183,0
1601623802,135,0
1601627401,103,0
1601631002,112,0
1601634602,101,0
1601638202,114,0
1601641802,110,0
1601646302,210,0
1601649901,249,0
1601653501,163,0
1601657102,173,0
1601660702,75,0
1601664302,92,0
1601667902,88,0
1601671502,99,0
1601675102,73,0
1601682302,187,0
1601685902,62,2805
1601690402,129,0
1601694002,148,0
1601697602,92,0
1601701202,109,0
1601704802,94,0
1601708401,101,0
1601712003,114,0
1601715602,89,0
1601722802,174,0
1601730002,205,0
1601737202,152,0
1601744402,200,0
1601748002,87,0
1601751602,115,0
1601755202,81,0
1601762403,170,0
1601766003,102,0
1601770502,104,3023
1601774102,87,0
1601781302,200,0
1601784901,74,0
1601788501,104,0
1601792102,103,0
1601799302,167,0
1601803802,107,0
1601807402,91,0
1601811002,106,0
1601818202,165,0
1601821802,87,0
1601825402,86,0
1601829001,99,0
1601832602,93,0
1601836202,79,0
1601840701,125,0
1601844302,77,0
1601847902,103,0
1601851502,74,0
1601858701,162,2472
1601865902,264,0
1601869501,106,0
1601873102,134,0
1601876702,132,0
1601884801,288,0
1601888402,138,0
1601892002,116,0
1601895603,123,0
1601899202,165,0
1601902802,133,0
1601906402,159,0
1601910002,177,0
1601913602,111,0
1601920802,250,0
1601924402,135,0
1601931602,224,0
1601935202,107,0
1601938802,88,0
1601942402,111,2156
1601946002,121,0
1601949602,144,0
1601957701,275,0
1601964902,214,0
1601972102,256,0
1601975702,142,0
1601979302,148,0
1601982902,125,0
1601986502,147,0
1601990101,249,0
1601997302,309,0
1602000902,110,0
1602004501,108,0
1602009002,104,0
1602012602,79,0
1602016202,107,0
1602019802,122,0
1602023402,92,0
1602030601,143,2803
1602037801,183,0
1602045002,187,0
1602052201,260,0
1602055802,128,0
1602063001,238,0
1602067502,154,0
1602071101,109,1
1602074702,115,1
1602078301,156,0
1602081902,168,0
1602085502,95,0
1602089101,96,0
1602096302,220,0
1602103502,231,0
1602107102,91,0
1602110702,88,0
1602114302,94,0
1602118802,112,3061
1602122401,111,0
1602126002,93,0
1602129603,106,0
1602133202,98,0
1602136802,107,0
1602140403,139,0
1602144001,128,0
1602151202,194,0
1602154802,121,0
1602162002,224,0
1602165602,139,0
1602169202,95,0
1602172803,98,0
1602177302,123,0
1602180902,489,0
1602188101,201,0
1602195302,181,0
1602198902,99,0
1602202502,126,2720
1602206101,92,0
1602209701,115,0
1602213302,93,0
1602216901,89,0
1602220502,83,0
1602227702,245,0
1602231302,89,0
1602235801,129,0
1602239402,106,0
1602243002,124,0
1602246601,184,0
1602253802,287,0
1602261002,287,0
1602268201,266,0
1602271802,91,0
1602275401,107,0
1602279002,109,0
1602286202,140,0
1602289802,80,3030
1602293402,107,0
1602297902,123,0
1602301502,86,0
1602305102,143,0
1602308703,130,0
1602312302,108,0
1602319502,195,0
1602323101,161,0
1602326702,103,0
1602330302,139,0
1602333901,101,0
1602337502,124,0
1602344702,222,1
1602348302,89,0
1602355502,219,0
1602360002,91,0
1602363602,97,0
1602367202,56,1
1602370802,72,0
1602374402,72,2821
1602378002,93,0
1602385202,205,0
1602388803,132,0
1602392403,95,0
1602396003,93,0
1602399602,149,0
1602403202,165,0
1602407702,148,0
1602414901,214,0
1602418501,114,0
1602425701,255,0
1602429302,98,0
1602433802,169,0
1602441002,261,0
1602448202,207,0
1602451802,116,0
1602455402,79,0
1602459001,73,0
1602466202,141,2464
1602470702,229,0
1602474302,142,0
1602477902,154,0
1602485102,276,0
1602492301,306,0
1602499502,362,0
1602503102,148,0
1602506701,192,0
1602510302,126,0
1602517501,304,0
1602521101,161,0
1602529202,321,0
1602532802,122,0
1602536402,111,0
1602540002,129,0
1602543602,109,0
1602547201,93,2565
1602554401,237,0
1602558002,137,0
1602561602,96,0
1602565202,161,0
1602568802,107,0
1602572402,146,0
1602576002,189,0
1602580502,188,0
1602584102,169,0
1602587702,131,0
1602591302,133,0
1602598502,293,0
1602603002,194,0
1602610201,303,0
1602613802,90,0
1602617402,124,0
1602621002,133,0
1602624602,145,0
1602628202,115,0
1602631801,132,0
1602639002,155,3269
1602643502,136,0
1602647102,108,0
1602650702,105,0
1602654302,148,0
1602661502,309,0
1602665102,140,0
1602668702,129,0
1602672302,144,0
1602675902,188,0
1602679501,131,0
1602683103,178,0
1602691202,345,0
1602694802,156,0
1602698403,153,0
1602702002,154,0
1602705602,116,0
1602709202,116,0
1602712802,129,0
1602720003,182,3294
1602723603,162,0
1602727203,123,0
1602730802,138,0
1602734402,108,0
1602738002,132,0
1602741602,149,0
1602745203,196,0
1602748802,170,0
1602752403,181,0
1602756002,147,0
1602759603,143,0
1602766803,295,0
1602770403,153,0
1602777602,274,0
1602782102,218,0
1602785702,109,0
1602789302,142,0
1602792902,110,0
1602800101,232,0
1602807302,189,3278
1602814502,238,0
1602818103,146,0
1602821703,142,0
1602825302,129,0
1602828902,86,0
1602832502,120,0
1602837002,192,0
1602840603,162,0
1602844203,128,0
1602851402,372,0
1602858602,274,0
1602865802,282,0
1602873002,234,0
1602876602,119,0
1602880203,88,0
1602883803,111,0
1602888302,105,0
1602891903,72,0
1602895502,82,3322
1602899102,112,0
1602902703,99,0
1602906303,122,0
1602909902,95,0
1602917103,204,1
1602924302,304,0
1602927902,134,0
1602931502,115,0
1602935102,141,0
1602938702,127,0
1602942302,99,0
1602949502,286,0
1602953102,127,0
1602956701,110,0
1602960302,111,0
1602964802,160,0
1602968402,101,0
1602972002,92,0
1602975602,141,0
1602979203,101,3140
1602982803,136,0
1602986402,134,0
1602990002,119,0
1602997202,197,0
1603000802,95,0
1603004402,113,0
1603008001,94,0
1603015202,236,0
1603018802,109,0
1603026002,275,0
1603029602,119,0
1603037701,275,0
1603044903,304,0
1603048503,167,0
1603052102,115,0
1603055701,95,0
1603059303,103,0
1603063802,94,0
1603067402,95,2942
1603074601,239,0
1603081802,231,0
1603089002,301,0
1603096201,407,1
1603099802,169,0
1603104302,191,0
1603107902,140,0
1603111502,165,0
1603115102,173,0
1603118702,153,0
1603122302,163,0
1603129501,257,0
1603133102,126,0
1603136702,124,0
1603140301,101,0
1603143902,93,0
1603147502,121,0
1603151102,93,0
1603158302,214,2681
1603161901,145,0
1603170003,364,0
1603173603,150,0
1603177202,118,0
1603180802,141,0
1603184402,140,0
1603188003,153,0
