DateTime,AddedIPs,RemovedIPs
1601274781,1,5
1601278382,3,0
1601281981,2,6
1601285582,3,3
1601289182,3,0
1601292781,2,3
1601296381,6,2
1601299981,4,3
1601303581,0,7
1601307181,2,3
1601310781,1,0
1601314381,4,0
1601317982,2,7
1601325181,0,4
1601328781,3,5
1601332381,1,4
1601335982,3,0
1601339582,1,3
1601343181,1,4
1601346782,2,1
1601350381,3,2
1601353981,0,3
1601357581,1,4
1601361181,2,0
1601364781,4,3
1601368382,0,1
1601371982,2,4
1601375581,3,1
1601379181,3,0
1601382781,2,1
1601386381,4,3
1601389981,3,6
1601393581,3,0
1601397182,1,4
1601404381,2,2
1601407981,2,3
1601411581,1,0
1601415182,2,6
1601418781,2,0
1601422381,1,2
1601425981,4,5
1601429581,1,4
1601433182,1,0
1601436781,2,5
1601440381,4,3
1601443981,2,0
1601447581,0,12
1601451182,1,0
1601454782,2,4
1601458381,3,5
1601461982,4,8
1601465581,3,0
1601469181,2,6
1601472781,4,2
1601476381,2,0
1601479981,2,4
1601483581,3,4
1601487181,4,2
1601490781,7,0
1601494381,2,2
1601497981,1,3
1601501581,2,3
1601505181,4,3
1601508781,2,2
1601512381,2,1
1601515981,1,5
1601519581,2,0
1601523181,0,3
1601526781,2,5
1601530382,1,4
1601533981,1,2
1601537581,0,1
1601541181,3,7
1601544781,0,6
1601548381,1,7
1601551981,0,3
1601555581,3,0
1601559181,6,7
1601562782,1,4
1601566381,5,6
1601569981,1,6
1601573581,2,0
1601577182,3,3
1601580782,1,0
1601584381,1,1
1601587982,1,7
1601595181,0,1
1601602381,0,1
1601605982,2,1
1601609582,0,4
1601613181,2,0
1601616781,1,0
1601620382,0,2
1601623981,0,1
1601631181,1,2
1601634781,0,5
1601638381,1,0
1601641982,2,2
1601645581,2,1
1601649182,0,8
1601652781,0,3
1601656381,0,6
1601659981,1,4
1601667181,1,2
1601670781,4,1
1601674381,3,0
1601677981,0,4
1601681581,1,2
1601685181,0,1
1601688781,2,2
1601692382,1,0
1601695982,1,4
1601699581,2,0
1601703181,1,1
1601710381,1,2
1601713981,1,2
1601717581,0,1
1601721181,1,0
1601724781,1,5
1601728381,2,0
1601731982,1,5
1601735581,2,0
1601739181,3,6
1601742782,2,2
1601746382,2,6
1601749982,3,0
1601753581,1,9
1601757181,0,2
1601760782,1,0
1601767981,1,0
1601771581,1,4
1601778781,1,1
1601782382,1,1
1601785981,5,0
1601793181,1,2
1601796781,2,1
1601800382,2,2
1601803981,1,0
1601807581,2,3
1601811181,0,1
1601814781,2,1
1601818381,0,4
1601821981,1,3
1601829182,1,0
1601832781,3,3
1601836382,0,3
1601839981,3,4
1601843582,0,1
1601847181,1,0
1601850782,1,1
1601854382,1,0
1601857981,0,1
1601861581,0,3
1601865181,0,4
1601868781,0,1
1601872382,1,3
1601879582,0,1
1601883182,2,1
1601890381,0,5
1601893981,0,1
1601897581,0,1
1601901181,1,9
1601904781,1,0
1601908382,2,1
1601911982,1,2
1601915582,3,1
1601919181,4,4
1601922781,3,0
1601926381,1,1
1601929981,3,0
1601933582,1,0
1601937181,1,6
1601940781,1,2
1601944381,2,3
1601947981,2,2
1601951581,1,0
1601955182,1,3
1601962382,2,1
1601965982,0,4
1601969581,2,2
1601973181,5,3
1601976781,3,0
1601983981,3,10
1601987581,0,1
1601991181,5,0
1601994782,2,5
1601998382,1,6
1602001981,2,0
1602005581,2,6
1602009182,1,0
1602012781,0,4
1602016381,0,5
1602023582,1,1
1602027181,1,3
1602030782,4,0
1602034381,1,6
1602037982,1,4
1602041581,1,0
1602045181,2,2
1602048782,2,2
1602052381,7,0
1602055981,2,6
1602059581,1,1
1602063181,1,4
1602066782,2,0
1602070381,0,10
1602073982,2,0
1602077581,3,3
1602081181,1,0
1602084781,2,5
